Joint,Timestamp LSTM,PV LSTM,Timestamp CNN,PV CNN
L Hip,5.09/6.12,4.86/5.76,4.63/5.51,4.44/5.34
L Knee,6.32/8.27,6.30/8.11,7.51/9.01,7.46/8.99
L Ankle,4.58/5.54,4.47/5.55,3.99/4.84,4.19/5.30
R Hip,6.53/7.87,6.40/7.59,5.34/6.27,5.23/6.09
R Knee,8.63/10.85,8.50/10.63,6.83/8.65,7.22/9.06
R Ankle,4.58/5.98,4.52/5.84,4.22/5.30,4.58/5.65
Mean,5.96/7.44,5.84/7.25,5.42/6.60,5.52/6.74
