repeat,subject,model,strides,MAE,RMSE,R2,hip_phase_lag_samples
0,NV041,timestamp_lstm,4.0,4.580155032510116,5.664744775787735,0.21089582156042053,0.0
0,NV046,timestamp_lstm,3.0,3.8264881991010182,4.621066461663908,-0.40801969949395883,-1.0
0,NV041,pv_lstm,4.0,5.3054817977866655,6.6667055819542504,-0.032104844826854016,-1.0
0,NV046,pv_lstm,3.0,4.262649490162235,5.1212590350174745,-0.6504795697239709,1.0
0,NV041,timestamp_cnn,4.0,4.790799177115071,5.905413713668581,-0.01300804797081804,2.0
0,NV046,timestamp_cnn,3.0,3.4175768503070376,4.012849699283223,0.03217286178057132,0.0
0,NV041,pv_cnn,4.0,4.830844042503435,5.99148769702042,0.09768835282685423,0.0
0,NV046,pv_cnn,3.0,3.44753281380341,4.051670482637188,0.08613907557393141,0.0
1,NV042,timestamp_lstm,4.0,4.904841499714444,6.036608467916903,-0.30705449235636195,3.0
1,NV043,timestamp_lstm,4.0,6.530786335650188,8.173549837560635,-1.3983421700651182,3.0
1,NV042,pv_lstm,4.0,5.465871517612773,7.005218043873192,-0.49112094192525213,3.0
1,NV043,pv_lstm,4.0,5.867502563831727,7.134448799357429,-1.14125271520117,2.0
1,NV042,timestamp_cnn,4.0,4.5278902831194685,5.573279813469686,-0.08681856156254229,2.0
1,NV043,timestamp_cnn,4.0,5.2054127442967575,6.295489713473824,-0.8442209180006841,1.0
1,NV042,pv_cnn,4.0,4.503407094327475,5.512459041368443,-0.12416407335169646,1.0
1,NV043,pv_cnn,4.0,5.289930210508839,6.276562349387006,-1.0897027570409,1.0
2,NV037,timestamp_lstm,4.0,8.340075725423775,9.513678347248588,-4.226909095048975,0.0
2,NV044,timestamp_lstm,4.0,6.46905179905888,7.898442820588776,-2.7057288740227587,5.0
2,NV037,pv_lstm,4.0,8.027449411871716,9.432650899565864,-3.5305888683910607,1.0
2,NV044,pv_lstm,4.0,6.301261372606212,7.670020930626115,-2.606982578957877,2.0
2,NV037,timestamp_cnn,4.0,8.652059917185431,9.877425990050615,-2.9800253579117006,3.0
2,NV044,timestamp_cnn,4.0,5.364684238151209,6.235159116361967,-2.10192901097116,4.0
2,NV037,pv_cnn,4.0,8.108668487777198,9.204423359945118,-2.672682794511707,1.0
2,NV044,pv_cnn,4.0,5.029931989733042,5.804900445354837,-2.2298341692244246,1.0
3,NV036,timestamp_lstm,4.0,6.274473626963557,7.459309020747635,-2.17358573220517,-1.0
3,NV045,timestamp_lstm,4.0,4.154608895730003,5.059721315240676,0.27195301316397646,0.0
3,NV036,pv_lstm,4.0,5.04398180007766,6.02485146966064,-2.6772963489109634,1.0
3,NV045,pv_lstm,4.0,4.463816860246853,5.452050885692764,0.2633313342266929,1.0
3,NV036,timestamp_cnn,4.0,4.415845824513424,5.171667239767574,-1.5280322016719567,1.0
3,NV045,timestamp_cnn,4.0,3.960833966121361,4.871694151491796,0.3283420695344616,2.0
3,NV036,pv_cnn,4.0,4.272485334323467,4.976732140754202,-1.4083498237627208,1.0
3,NV045,pv_cnn,4.0,4.167441175344205,5.1808956513318325,0.2226614232055279,0.0
4,NV033,timestamp_lstm,4.0,5.127154875867739,6.280651180245618,-0.46874406235350935,-4.0
4,NV039,timestamp_lstm,4.0,5.45558658166158,6.46726643313057,-3.0951408091344983,1.0
4,NV033,pv_lstm,4.0,5.294332708386283,6.289980576321722,-0.4797667931627951,-3.0
4,NV039,pv_lstm,4.0,5.233409575297377,6.078209099246951,-2.551246657744313,-1.0
4,NV033,timestamp_cnn,4.0,5.523654727156248,7.074327007089619,-0.3782908603537172,-5.0
4,NV039,timestamp_cnn,4.0,6.458159313297169,7.595514159438611,-2.9883524364620584,-4.0
4,NV033,pv_cnn,4.0,4.939964115446315,6.247935880453188,-0.09088955268407117,-2.0
4,NV039,pv_cnn,4.0,5.473303589724986,6.41944616873004,-2.5443409735290867,-1.0
5,NV031,timestamp_lstm,4.0,7.647983994615178,8.822278855591902,-2.4853154127916066,4.0
5,NV038,timestamp_lstm,4.0,5.088584053204574,5.92080845992889,-1.6098426746906562,-1.0
5,NV031,pv_lstm,4.0,7.587414809359367,8.517247264352664,-2.6127811313267326,2.0
5,NV038,pv_lstm,4.0,5.169650626388777,6.011015117008636,-1.6756871234555333,0.0
5,NV031,timestamp_cnn,4.0,8.904379534866814,10.290181514646596,-3.5888713290872616,2.0
5,NV038,timestamp_cnn,4.0,5.145059169583798,6.076058581947688,-1.5633537265529145,-1.0
5,NV031,pv_cnn,4.0,7.783718302219993,8.907957187692809,-2.6022594184682717,2.0
5,NV038,pv_cnn,4.0,5.041335656956806,5.954735604696771,-1.7076011141663783,-1.0
