phase,Timestamp LSTM,PV LSTM,Timestamp CNN,PV CNN
Loading Response,4.620661436269681,4.608662057943918,4.370457528848891,4.4939134034017725
Mid Stance,4.3966241153302015,4.272323106863984,4.156546431559104,4.251901997322285
Terminal Stance,4.502524068786038,4.324190253322875,4.395111571721457,4.306019939896133
Pre- Swing,5.931583724915981,5.9349933566042665,5.607431505151369,5.354338204833092
Initial Swing,6.827914339110808,6.2351229550937814,5.9269259336094064,5.865960081004435
Mid Swing,5.94913502810178,6.106807774829644,5.620675031716625,5.442915566403556
Terminal Swing,4.808909645786992,4.929910160325192,4.464039304673119,4.53875655239379
