Model,Rollout MAE (deg),Rollout MAE SD,Rollout R2,Hip phase lag (samples)
Timestamp LSTM,5.699982551625087,1.379151150960947,-1.5329861822865183,1.9166666666666667
PV LSTM,5.668568544468971,1.1384024472774412,-1.5154980199499857,1.5
Timestamp CNN,5.5305296454761494,1.7054104406722537,-1.3093656266024818,2.25
PV CNN,5.240713567722431,1.3797127559157218,-1.171944652094412,0.9166666666666666
