repeat,subject,model,phase,MAE
0,NV041,timestamp_lstm,Loading Response,3.922852244642046
0,NV041,timestamp_lstm,Mid Stance,3.4434870878855386
0,NV041,timestamp_lstm,Terminal Stance,4.370454774962531
0,NV041,timestamp_lstm,Pre- Swing,4.775679833359188
0,NV041,timestamp_lstm,Initial Swing,4.569002525673972
0,NV041,timestamp_lstm,Mid Swing,4.130997353129917
0,NV041,timestamp_lstm,Terminal Swing,4.060367077589035
0,NV046,timestamp_lstm,Loading Response,3.8839999039967856
0,NV046,timestamp_lstm,Mid Stance,3.815948340627882
0,NV046,timestamp_lstm,Terminal Stance,3.2538042018810907
0,NV046,timestamp_lstm,Pre- Swing,3.4462359100580215
0,NV046,timestamp_lstm,Initial Swing,3.8125712457630367
0,NV046,timestamp_lstm,Mid Swing,4.440870122777091
0,NV046,timestamp_lstm,Terminal Swing,2.876363772484991
0,NV041,pv_lstm,Loading Response,4.132619496848848
0,NV041,pv_lstm,Mid Stance,3.1588458749983044
0,NV041,pv_lstm,Terminal Stance,3.7601731485790677
0,NV041,pv_lstm,Pre- Swing,4.485912316375309
0,NV041,pv_lstm,Initial Swing,3.999352468384637
0,NV041,pv_lstm,Mid Swing,4.538691212733586
0,NV041,pv_lstm,Terminal Swing,4.105127235253652
0,NV046,pv_lstm,Loading Response,3.881063401699066
0,NV046,pv_lstm,Mid Stance,3.7358604735798306
0,NV046,pv_lstm,Terminal Stance,3.067301039894422
0,NV046,pv_lstm,Pre- Swing,3.3848528812328973
0,NV046,pv_lstm,Initial Swing,3.500128534105089
0,NV046,pv_lstm,Mid Swing,4.265497025516298
0,NV046,pv_lstm,Terminal Swing,2.979608005947537
0,NV041,timestamp_cnn,Loading Response,3.892339266008801
0,NV041,timestamp_cnn,Mid Stance,3.434441112809711
0,NV041,timestamp_cnn,Terminal Stance,4.055824726819992
0,NV041,timestamp_cnn,Pre- Swing,4.612905071841346
0,NV041,timestamp_cnn,Initial Swing,3.745707333087921
0,NV041,timestamp_cnn,Mid Swing,3.9864626593059964
0,NV041,timestamp_cnn,Terminal Swing,3.6923817098140717
0,NV046,timestamp_cnn,Loading Response,2.8220198485586376
0,NV046,timestamp_cnn,Mid Stance,3.4349134630627103
0,NV046,timestamp_cnn,Terminal Stance,2.935393730799357
0,NV046,timestamp_cnn,Pre- Swing,2.9870811568366156
0,NV046,timestamp_cnn,Initial Swing,3.088994840780894
0,NV046,timestamp_cnn,Mid Swing,3.5077353575163417
0,NV046,timestamp_cnn,Terminal Swing,2.2438204056686826
0,NV041,pv_cnn,Loading Response,4.291404800282584
0,NV041,pv_cnn,Mid Stance,3.4633819427755146
0,NV041,pv_cnn,Terminal Stance,3.9227126903004117
0,NV041,pv_cnn,Pre- Swing,4.787533978621165
0,NV041,pv_cnn,Initial Swing,4.348447415563795
0,NV041,pv_cnn,Mid Swing,4.395823068088955
0,NV041,pv_cnn,Terminal Swing,4.477967633141412
0,NV046,pv_cnn,Loading Response,3.192991955412759
0,NV046,pv_cnn,Mid Stance,3.4727044701576233
0,NV046,pv_cnn,Terminal Stance,2.7596051825417414
0,NV046,pv_cnn,Pre- Swing,3.0273030201594033
0,NV046,pv_cnn,Initial Swing,3.292298244105445
0,NV046,pv_cnn,Mid Swing,3.5381100707583957
0,NV046,pv_cnn,Terminal Swing,2.7187752740250692
1,NV042,timestamp_lstm,Loading Response,4.152473946412404
1,NV042,timestamp_lstm,Mid Stance,3.530135174592336
1,NV042,timestamp_lstm,Terminal Stance,3.5560806857215033
1,NV042,timestamp_lstm,Pre- Swing,6.295056223869324
1,NV042,timestamp_lstm,Initial Swing,5.90843348370658
1,NV042,timestamp_lstm,Mid Swing,3.523133178551992
1,NV042,timestamp_lstm,Terminal Swing,4.061724000506931
1,NV043,timestamp_lstm,Loading Response,5.017538828982247
1,NV043,timestamp_lstm,Mid Stance,3.955936895476447
1,NV043,timestamp_lstm,Terminal Stance,5.1845019525951805
1,NV043,timestamp_lstm,Pre- Swing,5.716240111324522
1,NV043,timestamp_lstm,Initial Swing,7.26285625828637
1,NV043,timestamp_lstm,Mid Swing,5.792924665742451
1,NV043,timestamp_lstm,Terminal Swing,3.8144348247183695
1,NV042,pv_lstm,Loading Response,4.361131333642536
1,NV042,pv_lstm,Mid Stance,3.569663448466195
1,NV042,pv_lstm,Terminal Stance,3.9177657018105188
1,NV042,pv_lstm,Pre- Swing,6.912776589393616
1,NV042,pv_lstm,Initial Swing,5.824962410661909
1,NV042,pv_lstm,Mid Swing,3.685426491830084
1,NV042,pv_lstm,Terminal Swing,3.834505460328526
1,NV043,pv_lstm,Loading Response,4.935610943370396
1,NV043,pv_lstm,Mid Stance,4.001974589294857
1,NV043,pv_lstm,Terminal Stance,5.169017861286799
1,NV043,pv_lstm,Pre- Swing,5.645757420195474
1,NV043,pv_lstm,Initial Swing,6.918669528431362
1,NV043,pv_lstm,Mid Swing,5.802212978402774
1,NV043,pv_lstm,Terminal Swing,3.271944973203871
1,NV042,timestamp_cnn,Loading Response,3.7092166675461664
1,NV042,timestamp_cnn,Mid Stance,3.6878698269526162
1,NV042,timestamp_cnn,Terminal Stance,3.7621855305300818
1,NV042,timestamp_cnn,Pre- Swing,5.671740389532513
1,NV042,timestamp_cnn,Initial Swing,5.34661007589764
1,NV042,timestamp_cnn,Mid Swing,4.038897418313557
1,NV042,timestamp_cnn,Terminal Swing,3.5538463526301913
1,NV043,timestamp_cnn,Loading Response,4.562741110722224
1,NV043,timestamp_cnn,Mid Stance,4.080500683850712
1,NV043,timestamp_cnn,Terminal Stance,5.822303500440386
1,NV043,timestamp_cnn,Pre- Swing,6.626571926805708
1,NV043,timestamp_cnn,Initial Swing,6.299093710051642
1,NV043,timestamp_cnn,Mid Swing,5.149530738592148
1,NV043,timestamp_cnn,Terminal Swing,2.926371587647332
1,NV042,pv_cnn,Loading Response,3.9848614235719046
1,NV042,pv_cnn,Mid Stance,3.877520796325472
1,NV042,pv_cnn,Terminal Stance,3.670226961374283
1,NV042,pv_cnn,Pre- Swing,5.234439618057674
1,NV042,pv_cnn,Initial Swing,4.6460997396045265
1,NV042,pv_cnn,Mid Swing,3.9544188843833075
1,NV042,pv_cnn,Terminal Swing,3.6608034670352936
1,NV043,pv_cnn,Loading Response,4.785093482997683
1,NV043,pv_cnn,Mid Stance,4.202529534697533
1,NV043,pv_cnn,Terminal Stance,5.404506451553768
1,NV043,pv_cnn,Pre- Swing,5.913576172457801
1,NV043,pv_cnn,Initial Swing,5.958215054538515
1,NV043,pv_cnn,Mid Swing,5.6846844719515905
1,NV043,pv_cnn,Terminal Swing,2.9105982565217547
2,NV037,timestamp_lstm,Loading Response,7.562903361188041
2,NV037,timestamp_lstm,Mid Stance,7.301820887459649
2,NV037,timestamp_lstm,Terminal Stance,6.9191670384671955
2,NV037,timestamp_lstm,Pre- Swing,7.723469658030404
2,NV037,timestamp_lstm,Initial Swing,8.373177720440758
2,NV037,timestamp_lstm,Mid Swing,8.330342710018158
2,NV037,timestamp_lstm,Terminal Swing,7.554281579123603
2,NV044,timestamp_lstm,Loading Response,4.682841042677562
2,NV044,timestamp_lstm,Mid Stance,4.000261240535313
2,NV044,timestamp_lstm,Terminal Stance,4.453671766652001
2,NV044,timestamp_lstm,Pre- Swing,7.197244465351105
2,NV044,timestamp_lstm,Initial Swing,7.8833277722199755
2,NV044,timestamp_lstm,Mid Swing,7.9570013880729675
2,NV044,timestamp_lstm,Terminal Swing,6.088478548659219
2,NV037,pv_lstm,Loading Response,6.984923680623372
2,NV037,pv_lstm,Mid Stance,6.362669116920895
2,NV037,pv_lstm,Terminal Stance,6.4085210296842785
2,NV037,pv_lstm,Pre- Swing,7.611175954341888
2,NV037,pv_lstm,Initial Swing,8.495007034805086
2,NV037,pv_lstm,Mid Swing,8.755824036068386
2,NV037,pv_lstm,Terminal Swing,7.580990764829847
2,NV044,pv_lstm,Loading Response,5.053854819801119
2,NV044,pv_lstm,Mid Stance,4.085214406251907
2,NV044,pv_lstm,Terminal Stance,4.629009273317125
2,NV044,pv_lstm,Pre- Swing,7.080842981735866
2,NV044,pv_lstm,Initial Swing,6.539633792307642
2,NV044,pv_lstm,Mid Swing,8.542236987087461
2,NV044,pv_lstm,Terminal Swing,6.8078128265009985
2,NV037,timestamp_cnn,Loading Response,7.45174154970381
2,NV037,timestamp_cnn,Mid Stance,6.844028933180703
2,NV037,timestamp_cnn,Terminal Stance,6.625839968522389
2,NV037,timestamp_cnn,Pre- Swing,7.242822070916493
2,NV037,timestamp_cnn,Initial Swing,8.020360887050629
2,NV037,timestamp_cnn,Mid Swing,8.298572503858143
2,NV037,timestamp_cnn,Terminal Swing,7.583907246589661
2,NV044,timestamp_cnn,Loading Response,4.593107130792406
2,NV044,timestamp_cnn,Mid Stance,4.074245810508728
2,NV044,timestamp_cnn,Terminal Stance,4.695621381203334
2,NV044,timestamp_cnn,Pre- Swing,5.336170863774088
2,NV044,timestamp_cnn,Initial Swing,5.44061935113536
2,NV044,timestamp_cnn,Mid Swing,6.036314785480499
2,NV044,timestamp_cnn,Terminal Swing,5.340455578433143
2,NV037,pv_cnn,Loading Response,7.503922164440155
2,NV037,pv_cnn,Mid Stance,6.745597471793492
2,NV037,pv_cnn,Terminal Stance,6.563498285081652
2,NV037,pv_cnn,Pre- Swing,7.390463497903612
2,NV037,pv_cnn,Initial Swing,7.6646173861291675
2,NV037,pv_cnn,Mid Swing,7.7609395782152815
2,NV037,pv_cnn,Terminal Swing,7.1437392764621315
2,NV044,pv_cnn,Loading Response,4.568839808305104
2,NV044,pv_cnn,Mid Stance,3.987826817565494
2,NV044,pv_cnn,Terminal Stance,4.6256118814150495
2,NV044,pv_cnn,Pre- Swing,5.536977135472828
2,NV044,pv_cnn,Initial Swing,5.166871642072995
2,NV044,pv_cnn,Mid Swing,4.615945041179657
2,NV044,pv_cnn,Terminal Swing,4.926814349161254
3,NV036,timestamp_lstm,Loading Response,3.374026510450575
3,NV036,timestamp_lstm,Mid Stance,4.042669287986225
3,NV036,timestamp_lstm,Terminal Stance,4.331542621056239
3,NV036,timestamp_lstm,Pre- Swing,5.955871540639135
3,NV036,timestamp_lstm,Initial Swing,7.174892091088825
3,NV036,timestamp_lstm,Mid Swing,4.258915838268068
3,NV036,timestamp_lstm,Terminal Swing,2.952640571528011
3,NV045,timestamp_lstm,Loading Response,3.7176530162493386
3,NV045,timestamp_lstm,Mid Stance,3.5303282274140253
3,NV045,timestamp_lstm,Terminal Stance,4.050695763693915
3,NV045,timestamp_lstm,Pre- Swing,5.613353629906972
3,NV045,timestamp_lstm,Initial Swing,4.458338389794032
3,NV045,timestamp_lstm,Mid Swing,4.807106958495246
3,NV045,timestamp_lstm,Terminal Swing,3.9665964908070035
3,NV036,pv_lstm,Loading Response,3.0038087450795703
3,NV036,pv_lstm,Mid Stance,3.666715638505088
3,NV036,pv_lstm,Terminal Stance,3.434202151166068
3,NV036,pv_lstm,Pre- Swing,5.434432533052233
3,NV036,pv_lstm,Initial Swing,5.9759515391455755
3,NV036,pv_lstm,Mid Swing,4.485684282249874
3,NV036,pv_lstm,Terminal Swing,2.699907706843482
3,NV045,pv_lstm,Loading Response,3.9626511567168765
3,NV045,pv_lstm,Mid Stance,3.8126689659224615
3,NV045,pv_lstm,Terminal Stance,3.676818534731865
3,NV045,pv_lstm,Pre- Swing,6.446796493397819
3,NV045,pv_lstm,Initial Swing,4.950870672861735
3,NV045,pv_lstm,Mid Swing,5.0527639422151776
3,NV045,pv_lstm,Terminal Swing,4.489064552717739
3,NV036,timestamp_cnn,Loading Response,2.8861916098329754
3,NV036,timestamp_cnn,Mid Stance,3.3769836260212793
3,NV036,timestamp_cnn,Terminal Stance,3.6306469804710813
3,NV036,timestamp_cnn,Pre- Swing,4.807412134276496
3,NV036,timestamp_cnn,Initial Swing,4.591734909349018
3,NV036,timestamp_cnn,Mid Swing,4.192460881339179
3,NV036,timestamp_cnn,Terminal Swing,3.2813122272491455
3,NV045,timestamp_cnn,Loading Response,3.373967260122299
3,NV045,timestamp_cnn,Mid Stance,2.6541284024715424
3,NV045,timestamp_cnn,Terminal Stance,3.3759227924876742
3,NV045,timestamp_cnn,Pre- Swing,5.578444533877903
3,NV045,timestamp_cnn,Initial Swing,4.266799688339233
3,NV045,timestamp_cnn,Mid Swing,4.102426727612813
3,NV045,timestamp_cnn,Terminal Swing,3.6725633409288196
3,NV036,pv_cnn,Loading Response,3.2516297466225095
3,NV036,pv_cnn,Mid Stance,3.9267284505897098
3,NV036,pv_cnn,Terminal Stance,3.980570912361145
3,NV036,pv_cnn,Pre- Swing,4.89278495642874
3,NV036,pv_cnn,Initial Swing,5.071936279535294
3,NV036,pv_cnn,Mid Swing,4.370849980248345
3,NV036,pv_cnn,Terminal Swing,3.072100732061598
3,NV045,pv_cnn,Loading Response,3.746394134230084
3,NV045,pv_cnn,Mid Stance,3.1202755586968527
3,NV045,pv_cnn,Terminal Stance,3.9766427245404987
3,NV045,pv_cnn,Pre- Swing,5.371773461500804
3,NV045,pv_cnn,Initial Swing,4.190089616510603
3,NV045,pv_cnn,Mid Swing,4.186151865455839
3,NV045,pv_cnn,Terminal Swing,3.7647127641571894
4,NV033,timestamp_lstm,Loading Response,4.434811323881149
4,NV033,timestamp_lstm,Mid Stance,4.046425610780716
4,NV033,timestamp_lstm,Terminal Stance,3.274487144417233
4,NV033,timestamp_lstm,Pre- Swing,5.19098515311877
4,NV033,timestamp_lstm,Initial Swing,7.4248932964271965
4,NV033,timestamp_lstm,Mid Swing,6.097792698277368
4,NV033,timestamp_lstm,Terminal Swing,4.709979330499967
4,NV039,timestamp_lstm,Loading Response,5.066380520661672
4,NV039,timestamp_lstm,Mid Stance,5.719744433959325
4,NV039,timestamp_lstm,Terminal Stance,4.81070171462165
4,NV039,timestamp_lstm,Pre- Swing,6.006992161273956
4,NV039,timestamp_lstm,Initial Swing,6.556298428111607
4,NV039,timestamp_lstm,Mid Swing,5.436950994862451
4,NV039,timestamp_lstm,Terminal Swing,6.658458431561788
4,NV033,pv_lstm,Loading Response,3.6797762413819632
