Model,MAE (deg),MAE SD,RMSE (deg),RMSE SD,R2,R2 SD,R2>0
Timestamp LSTM,5.155125677585602,1.334292497570584,6.173855741818746,1.468847058692048,-1.001140280937155,1.1094062978070849,2/12
PV LSTM,5.057140290737152,1.231239428852238,6.0738768974939985,1.3087298664699927,-0.9808429678281149,0.9733521277535446,2/12
Timestamp CNN,4.828748007615407,1.3724081702587172,5.716777304808299,1.4889092726097684,-0.8112513301894069,1.0319133933771396,4/12
PV CNN,4.799409409364064,1.180775485406143,5.703722218672435,1.3034520111677257,-0.7647699434310198,0.9535291978474074,5/12
Persistence (baseline),8.758136210383524,0.8267631940561918,10.890704092990008,0.9717076940595537,-1.0981320073206382,0.13811661822105192,0/12
Linear (baseline),14.563174702554647,2.2726642043615026,19.597387758991953,3.0654632712553607,-10.846111125731106,2.159780924797762,0/12
