Model,#Features,Window,Overall MAE,Overall RMSE,L Hip MAE,L Hip RMSE,R Hip MAE,R Hip RMSE,L Knee MAE,L Knee RMSE,R Knee MAE,R Knee RMSE,L Ankle MAE,L Ankle RMSE,R Ankle MAE,R Ankle RMSE
LSTM + kinematics only,6,51,1.4309958219528198,2.0303315653881207,3.1300315856933594,3.8476209300012765,1.2590022087097168,1.5618370938748205,1.4800432920455933,1.767151366926031,1.3116713762283325,1.6275021289629863,0.8067384362220764,1.0520615276431209,0.5984877347946167,0.7820050977360261
LSTM + kinetics only,36,51,3.247110605239868,4.254459509763237,5.167551040649414,6.367267481763757,5.190637111663818,5.725745419944348,2.88797664642334,3.6846854896853745,2.615913152694702,3.3482384904259033,2.1251447200775146,2.5825407186364995,1.4954416751861572,1.9542668171198445
LSTM + both,42,51,2.3269073963165283,3.1068213630056714,4.15489387512207,5.299801718403674,2.932734727859497,3.356527567774831,2.2375142574310303,2.6276931571194555,1.9939720630645752,2.4784100016279456,1.5853276252746582,1.8139033310986898,1.0570025444030762,1.4907514442540488
