repeat,subject,model,phase,MAE
1,NV046,timestamp_cnn,Terminal Stance,2.909447693162494
1,NV046,timestamp_cnn,Pre- Swing,3.2084207435448966
1,NV046,timestamp_cnn,Initial Swing,3.20894343405962
1,NV046,timestamp_cnn,Mid Swing,3.7932423022058277
1,NV046,timestamp_cnn,Terminal Swing,2.306070643994543
1,NV041,pv_cnn,Loading Response,4.026626169681549
1,NV041,pv_cnn,Mid Stance,3.6476217574543424
1,NV041,pv_cnn,Terminal Stance,4.256847600142161
1,NV041,pv_cnn,Pre- Swing,5.123055140177409
1,NV041,pv_cnn,Initial Swing,4.486589292685191
1,NV041,pv_cnn,Mid Swing,4.360233667824003
1,NV041,pv_cnn,Terminal Swing,4.024957007831997
1,NV046,pv_cnn,Loading Response,3.3251859148343406
1,NV046,pv_cnn,Mid Stance,3.16701609806882
1,NV046,pv_cnn,Terminal Stance,2.7242862209677696
1,NV046,pv_cnn,Pre- Swing,3.7089645680454044
1,NV046,pv_cnn,Initial Swing,3.2632766051424875
1,NV046,pv_cnn,Mid Swing,3.208495542407036
1,NV046,pv_cnn,Terminal Swing,2.6437950316402645
2,NV039,timestamp_lstm,Loading Response,4.188031431701448
2,NV039,timestamp_lstm,Mid Stance,4.599162850115034
2,NV039,timestamp_lstm,Terminal Stance,3.516826429300838
2,NV039,timestamp_lstm,Pre- Swing,3.793779323498408
2,NV039,timestamp_lstm,Initial Swing,2.66885859436459
2,NV039,timestamp_lstm,Mid Swing,3.3679538700315685
2,NV039,timestamp_lstm,Terminal Swing,4.8751980728573265
2,NV044,timestamp_lstm,Loading Response,4.282160990768009
2,NV044,timestamp_lstm,Mid Stance,3.525899271170298
2,NV044,timestamp_lstm,Terminal Stance,3.545889457066854
2,NV044,timestamp_lstm,Pre- Swing,4.19710420899921
2,NV044,timestamp_lstm,Initial Swing,4.208753317594528
2,NV044,timestamp_lstm,Mid Swing,4.004387699895435
2,NV044,timestamp_lstm,Terminal Swing,4.223554220464495
2,NV039,pv_lstm,Loading Response,3.650599161783854
2,NV039,pv_lstm,Mid Stance,4.597781406508552
2,NV039,pv_lstm,Terminal Stance,4.5428056965271635
2,NV039,pv_lstm,Pre- Swing,4.063510725895564
2,NV039,pv_lstm,Initial Swing,3.311308993233575
2,NV039,pv_lstm,Mid Swing,3.5001952052116394
2,NV039,pv_lstm,Terminal Swing,4.888544261455536
2,NV044,pv_lstm,Loading Response,4.364947679969999
2,NV044,pv_lstm,Mid Stance,3.3153015673160553
2,NV044,pv_lstm,Terminal Stance,3.7210429906845093
2,NV044,pv_lstm,Pre- Swing,4.054149230321248
2,NV044,pv_lstm,Initial Swing,5.027063263787164
2,NV044,pv_lstm,Mid Swing,4.6126318408383264
2,NV044,pv_lstm,Terminal Swing,4.529356583952904
2,NV039,timestamp_cnn,Loading Response,4.73647724919849
2,NV039,timestamp_cnn,Mid Stance,4.504989206790924
2,NV039,timestamp_cnn,Terminal Stance,3.5452783637576633
2,NV039,timestamp_cnn,Pre- Swing,4.814720173676808
2,NV039,timestamp_cnn,Initial Swing,5.369357228279114
2,NV039,timestamp_cnn,Mid Swing,4.629410892724991
2,NV039,timestamp_cnn,Terminal Swing,5.484865195221371
2,NV044,timestamp_cnn,Loading Response,4.550904697842068
2,NV044,timestamp_cnn,Mid Stance,4.023985392517513
2,NV044,timestamp_cnn,Terminal Stance,5.071584052509731
2,NV044,timestamp_cnn,Pre- Swing,6.123379823234346
2,NV044,timestamp_cnn,Initial Swing,5.480725208918254
2,NV044,timestamp_cnn,Mid Swing,4.823258817195892
2,NV044,timestamp_cnn,Terminal Swing,4.92252998219596
2,NV039,pv_cnn,Loading Response,4.85940686861674
2,NV039,pv_cnn,Mid Stance,4.921847158008152
2,NV039,pv_cnn,Terminal Stance,4.025867193937302
2,NV039,pv_cnn,Pre- Swing,5.816507163974974
2,NV039,pv_cnn,Initial Swing,5.268631637096405
2,NV039,pv_cnn,Mid Swing,4.4197509619924755
2,NV039,pv_cnn,Terminal Swing,5.596385469039281
2,NV044,pv_cnn,Loading Response,4.780752450227737
2,NV044,pv_cnn,Mid Stance,4.185337748792437
