Model,Rollout MAE (deg),Rollout MAE SD,Rollout R2,Hip phase lag (samples)
Timestamp LSTM,7.696617143447642,1.3912617347492187,-3.7742101318811287,5.1
PV LSTM,6.035243826538015,1.9819631398439832,-1.8929544379837615,0.7
Timestamp CNN,4.8343880904726255,0.9473253596861897,-0.8422237923715061,2.0
PV CNN,4.49412802470844,0.5608919544662733,-0.6509481132513237,1.1
