phase,Timestamp LSTM,PV LSTM,Timestamp CNN,PV CNN
Loading Response,3.482192737609148,3.4704679598410926,3.8284944343898033,3.891148878965113
Mid Stance,3.055876954810487,3.0753643877804278,3.6232459384534095,3.6262618981301786
Terminal Stance,2.9604637053277756,3.168578465365701,3.9188102496994865,3.8779084949857663
Pre- Swing,3.7053935825824738,3.7306137565109467,4.994552283154594,4.9853644152482355
Initial Swing,3.6558902007838094,4.013299911883142,4.9600582787560095,4.84770753648546
Mid Swing,3.3988913407756223,3.8073817379772663,4.613061987525887,4.3821525865130955
Terminal Swing,3.6400431283646157,3.7065090040365853,4.0522961022125354,4.175166079898675
