repeat,subject,model,channel,MAE,RMSE,R2
0,NV044,timestamp_lstm,L Hip Sag,2.99617075920105,3.821997880935669,0.9003661870956421
0,NV044,timestamp_lstm,L Hip Fro,3.3793179988861084,3.632018804550171,0.07580792903900146
0,NV044,timestamp_lstm,L Hip Tra,2.134298324584961,2.743623733520508,-0.9708751440048218
0,NV044,timestamp_lstm,L Knee Sag,7.109374523162842,8.098764419555664,0.7433040142059326
0,NV044,timestamp_lstm,L Knee Fro,2.2646279335021973,2.918041706085205,0.8522489070892334
0,NV044,timestamp_lstm,L Knee Tra,4.476134300231934,5.5814056396484375,0.21856147050857544
0,NV044,timestamp_lstm,L Ankle Sag,1.9494622945785522,2.61570405960083,0.8560202717781067
0,NV044,timestamp_lstm,L Ankle Fro,1.0254555940628052,1.0680160522460938,-2.6396217346191406
0,NV044,timestamp_lstm,L Ankle Tra,8.460094451904297,8.632925987243652,-7.462535858154297
0,NV044,timestamp_lstm,R Hip Sag,3.135686159133911,3.5194602012634277,0.9093085527420044
0,NV044,timestamp_lstm,R Hip Fro,2.9579241275787354,3.461439847946167,0.10007315874099731
0,NV044,timestamp_lstm,R Hip Tra,4.100058555603027,4.5698723793029785,-4.63049840927124
0,NV044,timestamp_lstm,R Knee Sag,4.964998245239258,6.3016228675842285,0.8781542181968689
0,NV044,timestamp_lstm,R Knee Fro,2.7891154289245605,3.16271710395813,0.5245495438575745
0,NV044,timestamp_lstm,R Knee Tra,5.609788417816162,6.5574822425842285,-0.3569056987762451
0,NV044,timestamp_lstm,R Ankle Sag,1.8398689031600952,2.2790334224700928,0.895709216594696
0,NV044,timestamp_lstm,R Ankle Fro,0.8656209111213684,0.9567822217941284,-1.4093725681304932
0,NV044,timestamp_lstm,R Ankle Tra,4.568740367889404,5.079267978668213,-1.0938572883605957
0,NV045,timestamp_lstm,L Hip Sag,3.2268264293670654,3.7970094680786133,0.9368464946746826
0,NV045,timestamp_lstm,L Hip Fro,1.597293496131897,1.9156546592712402,0.7785905003547668
0,NV045,timestamp_lstm,L Hip Tra,5.054817199707031,6.438774108886719,-0.045009613037109375
0,NV045,timestamp_lstm,L Knee Sag,4.274686336517334,4.947696208953857,0.9320533871650696
0,NV045,timestamp_lstm,L Knee Fro,2.4209580421447754,2.947711706161499,-0.18741369247436523
0,NV045,timestamp_lstm,L Knee Tra,5.72467041015625,7.057431221008301,0.29525119066238403
0,NV045,timestamp_lstm,L Ankle Sag,2.7452526092529297,3.3424105644226074,0.8027657270431519
0,NV045,timestamp_lstm,L Ankle Fro,0.6627302765846252,0.8181630969047546,0.6906712651252747
0,NV045,timestamp_lstm,L Ankle Tra,3.3370893001556396,4.152637004852295,0.6551975011825562
0,NV045,timestamp_lstm,R Hip Sag,6.479188919067383,7.57199764251709,0.8170280456542969
0,NV045,timestamp_lstm,R Hip Fro,2.6814637184143066,3.1006858348846436,0.10558480024337769
0,NV045,timestamp_lstm,R Hip Tra,3.975930690765381,4.766469478607178,-0.3138883113861084
0,NV045,timestamp_lstm,R Knee Sag,6.067577838897705,7.2545013427734375,0.8416169881820679
0,NV045,timestamp_lstm,R Knee Fro,1.4122964143753052,1.7646796703338623,0.7538019418716431
