Model,MAE (deg),MAE SD,RMSE (deg),RMSE SD,R2,R2 SD,R2>0
Timestamp LSTM,3.351923632621765,0.5373517962654794,4.042442846298218,0.5924480088683385,-0.050685375928878784,0.6992122546403013,6/10
PV LSTM,3.5071763038635253,0.5261302046057312,4.206167984008789,0.5465868175604655,-0.10557646453380584,0.7806820274267849,6/10
Timestamp CNN,4.206808972358703,0.522107407176146,4.998895907402039,0.5793781564398567,-0.5086674377322197,0.9148147091387001,5/10
PV CNN,4.177109169960022,0.5644400857652364,4.942445421218872,0.5882127519943607,-0.5289009883999825,1.08801251806086,6/10
