phase,Timestamp LSTM,PV LSTM,Timestamp CNN,PV CNN
Loading Response,5.0738855916316865,4.998628695943841,4.7765463553369045,4.681905314740208
Mid Stance,4.739798478782177,4.692769881613828,4.408267760994257,4.419060871005058
Terminal Stance,5.309854766147004,4.822573355019645,4.683608413846405,4.701911576092243
Pre- Swing,7.071672713108085,6.142077404039878,5.878250552272355,5.845584969139761
Initial Swing,7.01869335066941,6.853712292181122,6.649652212030357,6.435560464996982
Mid Swing,6.137623124997373,6.484016280483317,5.901684107465877,5.742872450707687
Terminal Swing,5.385496422786403,5.310398088147243,5.04426775265623,4.777298985738997
