repeat,subject,model,phase,MAE
1,NV043,timestamp_cnn,Pre- Swing,5.708362917105357
1,NV043,timestamp_cnn,Initial Swing,6.040533516142103
1,NV043,timestamp_cnn,Mid Swing,4.762819717327754
1,NV043,timestamp_cnn,Terminal Swing,2.9078315330876245
1,NV031,pv_cnn,Loading Response,6.307659175660875
1,NV031,pv_cnn,Mid Stance,6.5463313062985735
1,NV031,pv_cnn,Terminal Stance,6.892493181758457
1,NV031,pv_cnn,Pre- Swing,10.286573264333937
1,NV031,pv_cnn,Initial Swing,10.882153318987953
1,NV031,pv_cnn,Mid Swing,10.272929310798645
1,NV031,pv_cnn,Terminal Swing,6.503564748499128
1,NV043,pv_cnn,Loading Response,4.405923846695158
1,NV043,pv_cnn,Mid Stance,4.113064706325531
1,NV043,pv_cnn,Terminal Stance,5.181071115864648
1,NV043,pv_cnn,Pre- Swing,5.643840961986118
1,NV043,pv_cnn,Initial Swing,6.452914966477288
1,NV043,pv_cnn,Mid Swing,5.305840482314427
1,NV043,pv_cnn,Terminal Swing,3.2192869749334125
2,NV036,timestamp_lstm,Loading Response,5.139762916498714
2,NV036,timestamp_lstm,Mid Stance,5.366037027703391
2,NV036,timestamp_lstm,Terminal Stance,5.433157857921389
2,NV036,timestamp_lstm,Pre- Swing,6.37458456804355
2,NV036,timestamp_lstm,Initial Swing,6.514282229873869
2,NV036,timestamp_lstm,Mid Swing,5.081532300346428
2,NV036,timestamp_lstm,Terminal Swing,5.217357789476712
2,NV039,timestamp_lstm,Loading Response,3.9342280162705316
2,NV039,timestamp_lstm,Mid Stance,5.264610992537604
2,NV039,timestamp_lstm,Terminal Stance,5.685786230696572
2,NV039,timestamp_lstm,Pre- Swing,7.640525908933745
2,NV039,timestamp_lstm,Initial Swing,8.042792277203667
2,NV039,timestamp_lstm,Mid Swing,5.905772970782386
2,NV039,timestamp_lstm,Terminal Swing,6.196610146098667
2,NV036,pv_lstm,Loading Response,5.037660549084346
2,NV036,pv_lstm,Mid Stance,4.996389761567116
2,NV036,pv_lstm,Terminal Stance,5.545382764604357
2,NV036,pv_lstm,Pre- Swing,6.318461543983883
2,NV036,pv_lstm,Initial Swing,6.889738957087199
2,NV036,pv_lstm,Mid Swing,5.864379915926191
2,NV036,pv_lstm,Terminal Swing,5.819617705212699
2,NV039,pv_lstm,Loading Response,4.920588586065504
2,NV039,pv_lstm,Mid Stance,4.812791546185811
2,NV039,pv_lstm,Terminal Stance,4.465151415930854
2,NV039,pv_lstm,Pre- Swing,5.933851430813472
2,NV039,pv_lstm,Initial Swing,6.110578682687548
2,NV039,pv_lstm,Mid Swing,6.08042895131641
2,NV039,pv_lstm,Terminal Swing,5.727063205507067
2,NV036,timestamp_cnn,Loading Response,5.564510017633438
2,NV036,timestamp_cnn,Mid Stance,5.266233869724804
2,NV036,timestamp_cnn,Terminal Stance,5.79381145702468
2,NV036,timestamp_cnn,Pre- Swing,6.781799735294448
2,NV036,timestamp_cnn,Initial Swing,7.1855314738220635
2,NV036,timestamp_cnn,Mid Swing,5.54646750787894
2,NV036,timestamp_cnn,Terminal Swing,4.9368397576941385
2,NV039,timestamp_cnn,Loading Response,4.369453231493632
2,NV039,timestamp_cnn,Mid Stance,5.30859014723036
2,NV039,timestamp_cnn,Terminal Stance,4.742568115393321
2,NV039,timestamp_cnn,Pre- Swing,6.119194487730662
2,NV039,timestamp_cnn,Initial Swing,7.063785307937199
2,NV039,timestamp_cnn,Mid Swing,5.084151748153898
2,NV039,timestamp_cnn,Terminal Swing,5.426897552278307
2,NV036,pv_cnn,Loading Response,4.592092343502575
2,NV036,pv_cnn,Mid Stance,4.664353082577388
2,NV036,pv_cnn,Terminal Stance,5.305713398589028
2,NV036,pv_cnn,Pre- Swing,6.536433637142181
2,NV036,pv_cnn,Initial Swing,6.935180501805411
2,NV036,pv_cnn,Mid Swing,4.707974170645078
2,NV036,pv_cnn,Terminal Swing,3.534261694384946
2,NV039,pv_cnn,Loading Response,4.7253439161512585
2,NV039,pv_cnn,Mid Stance,4.978093869156307
2,NV039,pv_cnn,Terminal Stance,5.379390296008852
2,NV039,pv_cnn,Pre- Swing,6.531658376256625
2,NV039,pv_cnn,Initial Swing,6.97735959622595
2,NV039,pv_cnn,Mid Swing,5.72774424817827
2,NV039,pv_cnn,Terminal Swing,5.640458895100488
3,NV033,timestamp_lstm,Loading Response,4.220120873716143
3,NV033,timestamp_lstm,Mid Stance,3.326952235566245
3,NV033,timestamp_lstm,Terminal Stance,4.7787288427352905
3,NV033,timestamp_lstm,Pre- Swing,8.327164891693327
3,NV033,timestamp_lstm,Initial Swing,7.992407010661231
3,NV033,timestamp_lstm,Mid Swing,6.848313232262929
3,NV033,timestamp_lstm,Terminal Swing,4.8455659912692175
3,NV046,timestamp_lstm,Loading Response,3.4704701238208346
3,NV046,timestamp_lstm,Mid Stance,3.4541498819986978
3,NV046,timestamp_lstm,Terminal Stance,3.134705219003889
3,NV046,timestamp_lstm,Pre- Swing,2.7823415630393558
3,NV046,timestamp_lstm,Initial Swing,3.157555447684394
3,NV046,timestamp_lstm,Mid Swing,4.0149434672461615
3,NV046,timestamp_lstm,Terminal Swing,2.8839293155405255
3,NV033,pv_lstm,Loading Response,2.8098646071222095
3,NV033,pv_lstm,Mid Stance,2.996062472462654
3,NV033,pv_lstm,Terminal Stance,3.641724184155464
3,NV033,pv_lstm,Pre- Swing,5.609044015407562
3,NV033,pv_lstm,Initial Swing,7.411055313216315
3,NV033,pv_lstm,Mid Swing,6.856873624854618
3,NV033,pv_lstm,Terminal Swing,4.644403354989158
3,NV046,pv_lstm,Loading Response,3.4868689858251147
3,NV046,pv_lstm,Mid Stance,3.2881150957610874
3,NV046,pv_lstm,Terminal Stance,3.2154998771018453
3,NV046,pv_lstm,Pre- Swing,3.0659016569455466
3,NV046,pv_lstm,Initial Swing,3.188417590326733
3,NV046,pv_lstm,Mid Swing,3.936413755019506
3,NV046,pv_lstm,Terminal Swing,3.6173803508281708
3,NV033,timestamp_cnn,Loading Response,3.5377210776011148
3,NV033,timestamp_cnn,Mid Stance,2.805824829472436
