Model,Rollout MAE (deg),Rollout MAE SD,Rollout R2,Hip phase lag (samples)
Timestamp LSTM,6.6346315939806955,1.9772938036915706,-2.1469924643545775,2.9166666666666665
PV LSTM,6.212707784220427,1.854744993054377,-2.0606635510609075,1.1666666666666667
Timestamp CNN,5.852042095979943,1.7366825622496533,-1.6195229655724457,2.5
PV CNN,5.541031959446589,1.7176376769027495,-1.7083029342225675,1.1666666666666667
