Joint,Timestamp LSTM,PV LSTM,Timestamp CNN,PV CNN
L Hip,5.25/6.25,5.39/6.39,5.43/6.47,5.00/5.94
L Knee,7.85/9.93,8.14/10.35,7.34/9.12,7.36/9.45
L Ankle,4.85/6.02,4.69/5.92,4.25/5.29,4.10/5.19
R Hip,6.44/7.84,6.08/7.34,6.32/7.41,5.39/6.23
R Knee,9.27/11.28,8.09/10.19,7.78/9.48,7.09/8.49
R Ankle,5.32/6.62,4.61/5.81,4.17/5.26,4.16/5.22
Mean,6.50/7.99,6.17/7.67,5.88/7.17,5.52/6.75
