Model,MAE (deg),MAE SD,RMSE (deg),RMSE SD,R2,R2 SD,R2>0
Timestamp LSTM,5.163556635379791,1.3008926013040358,6.1869921286900835,1.5162272228129017,-1.0727703322966893,1.157155497185094,3/12
PV LSTM,5.148411889870961,1.5595855676123254,6.182672142982483,1.7698603524550802,-1.0932184172949444,1.2838903042635645,4/12
Timestamp CNN,4.894602000713348,1.509862011884299,5.818857252597809,1.7120948719339306,-0.9456983630855879,1.1684383196380705,4/12
PV CNN,4.861563483874003,1.499869619882184,5.745382944742839,1.6539543197034774,-0.8199130455031991,1.1556918780605347,4/12
Persistence (baseline),8.758136210383524,0.8267631940561918,10.890704092990006,0.9717076940595538,-1.0981320073206382,0.13811661822105192,0/12
Linear (baseline),14.563174702554646,2.2726642043615026,19.597387758991953,3.0654632712553607,-10.846111125731106,2.159780924797762,0/12
