repeat,subject,model,strides,MAE,RMSE,R2,hip_phase_lag_samples
0,NV039,timestamp_lstm,4.0,7.402303405256126,9.093744152073384,-3.1839413191098114,-7.0
0,NV044,timestamp_lstm,4.0,5.283230239772979,6.151487177702526,-2.508797672952816,3.0
0,NV039,pv_lstm,4.0,5.750461283991835,7.080792135142776,-3.4546203774201865,2.0
0,NV044,pv_lstm,4.0,6.017218420190606,7.179807434974363,-2.392898798588872,3.0
0,NV039,timestamp_cnn,4.0,6.164859804329066,7.290743036166895,-2.8073983106481353,-4.0
0,NV044,timestamp_cnn,4.0,5.323659802906733,6.234445030230994,-2.201605102678838,4.0
0,NV039,pv_cnn,4.0,5.398491808113753,6.317896375255427,-2.3125131659216454,0.0
0,NV044,pv_cnn,4.0,5.062896817207701,5.813846096755494,-1.95070076284283,2.0
1,NV041,timestamp_lstm,4.0,7.479038420735137,9.457416566711228,-0.4581184831057212,-4.0
1,NV042,timestamp_lstm,4.0,4.808508520838568,5.745010761833827,-0.3162531379290645,2.0
1,NV041,pv_lstm,4.0,5.350371329899019,6.348543196039927,-0.1702258993135446,2.0
1,NV042,pv_lstm,4.0,4.892731067974039,5.887747080627915,-0.3976180084385772,3.0
1,NV041,timestamp_cnn,4.0,4.928100743484248,6.047722982879936,-0.005984602193812934,2.0
1,NV042,timestamp_cnn,4.0,4.774707102226908,5.939610977069243,-0.18314204897988717,3.0
1,NV041,pv_cnn,4.0,4.68453648178473,5.802607804571313,0.16158257510757854,0.0
1,NV042,pv_cnn,4.0,4.457721282252178,5.3596799905850885,-0.045103472104694196,2.0
2,NV036,timestamp_lstm,4.0,6.0009734532875605,7.144185035772583,-3.1294654076924875,-3.0
2,NV043,timestamp_lstm,4.0,6.1755547811911,7.6067865499902,-1.034111400144204,3.0
2,NV036,pv_lstm,4.0,5.397119756523971,6.443985031557204,-2.9272748993738524,3.0
2,NV043,pv_lstm,4.0,7.6720923402920045,8.996455992466554,-3.39594243874277,-1.0
2,NV036,timestamp_cnn,4.0,4.8191554360768105,5.585390854717527,-1.8689048125450318,-1.0
2,NV043,timestamp_cnn,4.0,4.871965725931318,5.869412235343461,-0.46470686814778606,2.0
2,NV036,pv_cnn,4.0,4.921228160104172,5.595255217032278,-1.3714881965554975,2.0
2,NV043,pv_cnn,4.0,4.260866012333005,5.056229122069876,-0.42586230062648966,0.0
3,NV031,timestamp_lstm,4.0,9.673644907883897,11.139778487174706,-5.057347777980182,1.0
3,NV046,timestamp_lstm,3.0,3.9336924518117917,4.6816450001149095,-0.3600714831979546,0.0
3,NV031,pv_lstm,4.0,9.528115632614622,10.91815705091319,-5.080559323093948,1.0
3,NV046,pv_lstm,3.0,4.182876927294213,5.032675516245678,-0.6229475025446933,1.0
3,NV031,timestamp_cnn,4.0,9.661915013454058,11.498618019672987,-4.715720578462368,2.0
3,NV046,timestamp_cnn,3.0,3.3008530007458243,3.9597863130157447,0.08022542381956915,-1.0
3,NV031,pv_cnn,4.0,9.595262248379179,10.82821104420705,-4.799055197542942,2.0
3,NV046,pv_cnn,3.0,3.2662835356359277,3.8599366476089916,0.20862324627256051,0.0
4,NV033,timestamp_lstm,4.0,5.4272707957851365,6.8432586138200495,-0.5576395373868432,-5.0
4,NV045,timestamp_lstm,4.0,5.013364719291258,6.133905424395759,0.07584327789982089,-2.0
4,NV033,pv_lstm,4.0,5.385512112818407,6.39934689078872,-0.48787105184767465,-2.0
4,NV045,pv_lstm,4.0,4.363865965323506,5.255620196802774,0.22153957319297365,0.0
4,NV033,timestamp_cnn,4.0,5.545877929569018,7.125407468131044,-0.5450231746959601,-6.0
4,NV045,timestamp_cnn,4.0,4.250530805412002,5.233592056568806,0.25240318045532883,-1.0
4,NV033,pv_cnn,4.0,5.085650153064444,6.222819540014184,-0.5105779169758622,-2.0
4,NV045,pv_cnn,4.0,4.169006657955519,5.048961946641719,0.27061618484772587,-1.0
5,NV037,timestamp_lstm,4.0,8.467009761761897,9.928427579600534,-4.009571894912956,2.0
5,NV038,timestamp_lstm,4.0,5.274473567514718,6.253438331444771,-1.7189887234685415,-2.0
5,NV037,pv_lstm,4.0,7.685274229645722,8.729601809437069,-2.629036641283113,0.0
5,NV038,pv_lstm,4.0,5.217681465424952,6.166531071462958,-1.7454840879834712,0.0
5,NV037,timestamp_cnn,4.0,8.442180005979598,9.53813696550289,-2.903166723451262,1.0
5,NV038,timestamp_cnn,4.0,5.142391043052413,6.043597508892876,-1.4717101267769745,-2.0
5,NV037,pv_cnn,4.0,7.956741656770126,8.84668914781905,-2.944052087180486,-1.0
5,NV038,pv_cnn,4.0,4.920949638753132,5.780010016944777,-1.570218769487566,-1.0
