Model,Rollout MAE (deg),Rollout MAE SD,Rollout R2,Hip phase lag (samples)
Timestamp LSTM,6.244922085427515,1.680846277607752,-1.85487196333173,2.8333333333333335
PV LSTM,5.95361004433274,1.5696090604249728,-1.9235782879531438,1.5
Timestamp CNN,5.6021830344306665,1.7726277971847864,-1.4028944786920965,2.4166666666666665
PV CNN,5.314969537696155,1.7447858291618357,-1.274062488584179,1.0833333333333333
