repeat,subject,model,phase,MAE
0,NV039,timestamp_lstm,Loading Response,4.371148910787371
0,NV039,timestamp_lstm,Mid Stance,5.524467567602794
0,NV039,timestamp_lstm,Terminal Stance,5.013879153463575
0,NV039,timestamp_lstm,Pre- Swing,7.998316634032461
0,NV039,timestamp_lstm,Initial Swing,7.354014823834102
0,NV039,timestamp_lstm,Mid Swing,6.0218760636117725
0,NV039,timestamp_lstm,Terminal Swing,7.101849208275477
0,NV044,timestamp_lstm,Loading Response,4.345568729771508
0,NV044,timestamp_lstm,Mid Stance,3.8489506112204657
0,NV044,timestamp_lstm,Terminal Stance,4.115966733958986
0,NV044,timestamp_lstm,Pre- Swing,5.615977942943573
0,NV044,timestamp_lstm,Initial Swing,6.097824507289463
0,NV044,timestamp_lstm,Mid Swing,5.989634381400214
0,NV044,timestamp_lstm,Terminal Swing,5.120520869890849
0,NV039,pv_lstm,Loading Response,5.062647051281399
0,NV039,pv_lstm,Mid Stance,6.2678900890880165
0,NV039,pv_lstm,Terminal Stance,5.262874957587984
0,NV039,pv_lstm,Pre- Swing,5.834120695789655
0,NV039,pv_lstm,Initial Swing,4.747962527804905
0,NV039,pv_lstm,Mid Swing,5.086764348877801
0,NV039,pv_lstm,Terminal Swing,6.172533843252394
0,NV044,pv_lstm,Loading Response,4.2851064867443505
0,NV044,pv_lstm,Mid Stance,3.903240660826365
0,NV044,pv_lstm,Terminal Stance,4.415050019820531
0,NV044,pv_lstm,Pre- Swing,5.54246557255586
0,NV044,pv_lstm,Initial Swing,5.6221128271685705
0,NV044,pv_lstm,Mid Swing,6.578931894567278
0,NV044,pv_lstm,Terminal Swing,5.219728921850522
0,NV039,timestamp_cnn,Loading Response,5.2143382165167065
0,NV039,timestamp_cnn,Mid Stance,6.019638180732727
0,NV039,timestamp_cnn,Terminal Stance,5.0736239022678795
0,NV039,timestamp_cnn,Pre- Swing,5.992243058151669
0,NV039,timestamp_cnn,Initial Swing,6.060799201329549
0,NV039,timestamp_cnn,Mid Swing,4.937678393390444
0,NV039,timestamp_cnn,Terminal Swing,5.478655245569017
0,NV044,timestamp_cnn,Loading Response,4.244623935884899
0,NV044,timestamp_cnn,Mid Stance,3.6561061607466803
0,NV044,timestamp_cnn,Terminal Stance,4.6358078685071735
0,NV044,timestamp_cnn,Pre- Swing,5.94897838599152
0,NV044,timestamp_cnn,Initial Swing,5.850132580432627
0,NV044,timestamp_cnn,Mid Swing,5.573464436663522
0,NV044,timestamp_cnn,Terminal Swing,4.951258659362793
0,NV039,pv_cnn,Loading Response,5.1031341552734375
0,NV039,pv_cnn,Mid Stance,5.510968055990007
0,NV039,pv_cnn,Terminal Stance,4.823067141903771
