phase,Timestamp LSTM,PV LSTM,Timestamp CNN,PV CNN
Loading Response,4.571332730490853,4.697909470095678,4.422511795052776,4.66304412815306
Mid Stance,4.392397589567635,4.3853564757715775,4.144410228011785,4.225945613450475
Terminal Stance,4.458193811415522,4.540902072770728,4.357489621404697,4.243952723771886
Pre- Swing,6.047303815268808,6.159866352462107,5.796486220012109,5.65452254522178
Initial Swing,6.3371324285312935,6.166081511588008,5.979832088574767,5.87168161874568
Mid Swing,6.231158221485438,5.983929076335496,5.685800107540907,5.426597338307786
Terminal Swing,5.049641511506505,5.010621421590999,4.646397695773177,4.775576843017781
