repeat,subject,model,channel,MAE,RMSE,R2
0,NV039,timestamp_lstm,L Hip Sag,4.3780293464660645,5.6927313804626465,0.8510206341743469
0,NV039,timestamp_lstm,L Hip Fro,8.088523864746094,8.253220558166504,-4.210596084594727
0,NV039,timestamp_lstm,L Hip Tra,10.188783645629883,10.901304244995117,-2.917090892791748
0,NV039,timestamp_lstm,L Knee Sag,9.207157135009766,10.848982810974121,0.7195267677307129
0,NV039,timestamp_lstm,L Knee Fro,5.117588996887207,5.43874454498291,-8.131728172302246
0,NV039,timestamp_lstm,L Knee Tra,4.516999244689941,5.729461669921875,0.006070613861083984
0,NV039,timestamp_lstm,L Ankle Sag,3.8264997005462646,4.9945526123046875,0.5853007435798645
0,NV039,timestamp_lstm,L Ankle Fro,3.4547181129455566,3.60341215133667,-8.43916130065918
0,NV039,timestamp_lstm,L Ankle Tra,9.66369342803955,10.362161636352539,-5.673567771911621
0,NV039,timestamp_lstm,R Hip Sag,7.57176399230957,10.202919960021973,0.5088794231414795
0,NV039,timestamp_lstm,R Hip Fro,4.155951499938965,4.871978759765625,-1.5303337574005127
0,NV039,timestamp_lstm,R Hip Tra,4.749241352081299,6.483417510986328,-0.19350743293762207
0,NV039,timestamp_lstm,R Knee Sag,10.301192283630371,12.9102783203125,0.669532060623169
0,NV039,timestamp_lstm,R Knee Fro,8.254128456115723,8.866721153259277,-12.868252754211426
0,NV039,timestamp_lstm,R Knee Tra,4.412599086761475,5.436598300933838,0.25516659021377563
0,NV039,timestamp_lstm,R Ankle Sag,4.2973713874816895,5.326915264129639,0.5608463287353516
0,NV039,timestamp_lstm,R Ankle Fro,1.4818822145462036,1.7276535034179688,-5.733978748321533
0,NV039,timestamp_lstm,R Ankle Tra,4.043219566345215,4.976841926574707,-0.5715278387069702
0,NV044,timestamp_lstm,L Hip Sag,6.657833576202393,8.507993698120117,0.5121963024139404
0,NV044,timestamp_lstm,L Hip Fro,4.390780448913574,4.658673286437988,-0.537692666053772
0,NV044,timestamp_lstm,L Hip Tra,4.093866348266602,4.878505229949951,-5.000060081481934
0,NV044,timestamp_lstm,L Knee Sag,6.715126037597656,8.91115665435791,0.6985993385314941
0,NV044,timestamp_lstm,L Knee Fro,3.100188970565796,3.5368831157684326,0.7905675172805786
0,NV044,timestamp_lstm,L Knee Tra,8.71461009979248,10.67121696472168,-1.756922960281372
0,NV044,timestamp_lstm,L Ankle Sag,2.2615163326263428,2.632540225982666,0.8581488728523254
0,NV044,timestamp_lstm,L Ankle Fro,0.946994960308075,1.0076971054077148,-2.375619411468506
0,NV044,timestamp_lstm,L Ankle Tra,7.960880756378174,8.21757984161377,-6.959136962890625
0,NV044,timestamp_lstm,R Hip Sag,6.8366265296936035,7.797980308532715,0.5571927428245544
0,NV044,timestamp_lstm,R Hip Fro,2.9557723999023438,3.624277114868164,-0.08082175254821777
0,NV044,timestamp_lstm,R Hip Tra,4.506572246551514,5.1095991134643555,-5.781259059906006
0,NV044,timestamp_lstm,R Knee Sag,8.715982437133789,10.48155689239502,0.6361209154129028
0,NV044,timestamp_lstm,R Knee Fro,2.9274845123291016,3.2362184524536133,0.46857649087905884
0,NV044,timestamp_lstm,R Knee Tra,5.1587700843811035,5.858371734619141,-0.041097283363342285
0,NV044,timestamp_lstm,R Ankle Sag,3.0235204696655273,4.65853214263916,0.5549250245094299
0,NV044,timestamp_lstm,R Ankle Fro,1.245619297027588,1.3667848110198975,-3.8212928771972656
0,NV044,timestamp_lstm,R Ankle Tra,7.922224521636963,8.39753532409668,-4.6113996505737305
0,NV039,pv_lstm,L Hip Sag,4.582485198974609,5.191176414489746,0.8761156797409058
0,NV039,pv_lstm,L Hip Fro,7.264524459838867,7.409453392028809,-3.1996474266052246
0,NV039,pv_lstm,L Hip Tra,8.653299331665039,9.744305610656738,-2.12974214553833
0,NV039,pv_lstm,L Knee Sag,5.7565717697143555,6.918073654174805,0.8859530687332153
0,NV039,pv_lstm,L Knee Fro,5.5449066162109375,5.994709014892578,-10.094095230102539
0,NV039,pv_lstm,L Knee Tra,4.5745391845703125,5.397970676422119,0.11775553226470947
0,NV039,pv_lstm,L Ankle Sag,4.467432022094727,5.173917293548584,0.5549805164337158
0,NV039,pv_lstm,L Ankle Fro,3.129582643508911,3.263857364654541,-6.744046211242676
0,NV039,pv_lstm,L Ankle Tra,8.873947143554688,9.758404731750488,-4.918544769287109
0,NV039,pv_lstm,R Hip Sag,6.234506607055664,7.402512073516846,0.7414780855178833
0,NV039,pv_lstm,R Hip Fro,5.755855560302734,6.111708164215088,-2.981916904449463
0,NV039,pv_lstm,R Hip Tra,4.29139518737793,5.457164287567139,0.15442687273025513
0,NV039,pv_lstm,R Knee Sag,8.358255386352539,9.954768180847168,0.803519070148468
0,NV039,pv_lstm,R Knee Fro,7.762701511383057,8.322425842285156,-11.217869758605957
0,NV039,pv_lstm,R Knee Tra,5.157853603363037,6.050107479095459,0.07757538557052612
0,NV039,pv_lstm,R Ankle Sag,3.9727864265441895,4.752755641937256,0.6504124402999878
0,NV039,pv_lstm,R Ankle Fro,1.30709969997406,1.4883190393447876,-3.997474193572998
0,NV039,pv_lstm,R Ankle Tra,3.423739194869995,4.092498302459717,-0.06265270709991455
0,NV044,pv_lstm,L Hip Sag,7.968993663787842,9.406798362731934,0.4036867022514343
0,NV044,pv_lstm,L Hip Fro,2.677063226699829,3.0734469890594482,0.33073747158050537
0,NV044,pv_lstm,L Hip Tra,6.3275346755981445,7.422530651092529,-12.889482498168945
0,NV044,pv_lstm,L Knee Sag,7.2412590980529785,9.95822525024414,0.623608410358429
0,NV044,pv_lstm,L Knee Fro,1.890291690826416,2.7167091369628906,0.8764368891716003
0,NV044,pv_lstm,L Knee Tra,8.483697891235352,10.555197715759277,-1.6973016262054443
0,NV044,pv_lstm,L Ankle Sag,2.752211093902588,3.2368898391723633,0.7855437994003296
0,NV044,pv_lstm,L Ankle Fro,0.7255640029907227,0.7980006337165833,-1.1168982982635498
0,NV044,pv_lstm,L Ankle Tra,6.4967780113220215,6.787126064300537,-4.429376125335693
0,NV044,pv_lstm,R Hip Sag,5.990066051483154,7.028830528259277,0.6402368545532227
0,NV044,pv_lstm,R Hip Fro,2.654364824295044,3.1450631618499756,0.18610185384750366
0,NV044,pv_lstm,R Hip Tra,6.687642574310303,7.58666467666626,-13.949906349182129
0,NV044,pv_lstm,R Knee Sag,9.095746040344238,10.916996002197266,0.6052594184875488
0,NV044,pv_lstm,R Knee Fro,3.596137523651123,3.9677605628967285,0.20116686820983887
0,NV044,pv_lstm,R Knee Tra,5.976696014404297,7.4478840827941895,-0.6826868057250977
0,NV044,pv_lstm,R Ankle Sag,2.9501984119415283,4.415256977081299,0.6001962423324585
0,NV044,pv_lstm,R Ankle Fro,1.1992499828338623,1.2936466932296753,-3.319113254547119
0,NV044,pv_lstm,R Ankle Tra,6.949396133422852,7.461236476898193,-3.4298510551452637
0,NV039,timestamp_cnn,L Hip Sag,4.062272071838379,4.614665508270264,0.9021039605140686
0,NV039,timestamp_cnn,L Hip Fro,8.033692359924316,8.181589126586914,-4.120540618896484
0,NV039,timestamp_cnn,L Hip Tra,7.24335241317749,8.50830078125,-1.3861207962036133
0,NV039,timestamp_cnn,L Knee Sag,9.551891326904297,12.819243431091309,0.6084041595458984
0,NV039,timestamp_cnn,L Knee Fro,5.280975341796875,5.690140247344971,-8.99543285369873
0,NV039,timestamp_cnn,L Knee Tra,4.776307106018066,5.6455912590026855,0.03495675325393677
0,NV039,timestamp_cnn,L Ankle Sag,3.738447427749634,4.577775955200195,0.6516232490539551
0,NV039,timestamp_cnn,L Ankle Fro,2.54251766204834,2.817955255508423,-4.772630214691162
0,NV039,timestamp_cnn,L Ankle Tra,5.2564215660095215,6.551690578460693,-1.6678664684295654
0,NV039,timestamp_cnn,R Hip Sag,6.727453708648682,7.46748685836792,0.7369198203086853
0,NV039,timestamp_cnn,R Hip Fro,7.52655553817749,7.710771083831787,-5.3381524085998535
0,NV039,timestamp_cnn,R Hip Tra,3.575089454650879,4.600027084350586,0.39918893575668335
0,NV039,timestamp_cnn,R Knee Sag,10.077435493469238,11.695972442626953,0.7287743091583252
0,NV039,timestamp_cnn,R Knee Fro,9.55712890625,9.906688690185547,-16.31221580505371
0,NV039,timestamp_cnn,R Knee Tra,3.7282655239105225,5.077103614807129,0.3504139184951782
0,NV039,timestamp_cnn,R Ankle Sag,3.6174654960632324,4.352572441101074,0.7068047523498535
0,NV039,timestamp_cnn,R Ankle Fro,1.4306020736694336,1.5179452896118164,-4.19841194152832
0,NV039,timestamp_cnn,R Ankle Tra,2.7101657390594482,3.2793526649475098,0.3176760673522949
0,NV044,timestamp_cnn,L Hip Sag,5.958986282348633,7.031864166259766,0.6667795181274414
0,NV044,timestamp_cnn,L Hip Fro,3.190047264099121,3.509326457977295,0.12744539976119995
0,NV044,timestamp_cnn,L Hip Tra,3.0798768997192383,3.5201575756073,-2.1239659786224365
0,NV044,timestamp_cnn,L Knee Sag,9.861444473266602,11.111824035644531,0.5313520431518555
0,NV044,timestamp_cnn,L Knee Fro,3.573676109313965,4.580725193023682,0.6487057209014893
0,NV044,timestamp_cnn,L Knee Tra,9.156428337097168,11.012656211853027,-1.9361684322357178
0,NV044,timestamp_cnn,L Ankle Sag,2.7993698120117188,3.321296215057373,0.7742134928703308
0,NV044,timestamp_cnn,L Ankle Fro,1.3700933456420898,1.4294581413269043,-5.792604923248291
0,NV044,timestamp_cnn,L Ankle Tra,10.287423133850098,10.492862701416016,-11.976754188537598
0,NV044,timestamp_cnn,R Hip Sag,3.6242945194244385,4.59856653213501,0.8460090160369873
0,NV044,timestamp_cnn,R Hip Fro,2.475372552871704,3.162090301513672,0.1772652268409729
0,NV044,timestamp_cnn,R Hip Tra,7.450705051422119,7.8560662269592285,-15.030494689941406
0,NV044,timestamp_cnn,R Knee Sag,6.677548408508301,8.165911674499512,0.7791411280632019
0,NV044,timestamp_cnn,R Knee Fro,2.0948662757873535,2.353353977203369,0.7189784049987793
0,NV044,timestamp_cnn,R Knee Tra,6.290468692779541,7.433478355407715,-0.6761839389801025
0,NV044,timestamp_cnn,R Ankle Sag,3.453002691268921,4.581230163574219,0.5695732831954956
0,NV044,timestamp_cnn,R Ankle Fro,0.7470555305480957,0.8330357670783997,-0.790979266166687
0,NV044,timestamp_cnn,R Ankle Tra,5.666169166564941,6.076725482940674,-1.9383721351623535
0,NV039,pv_cnn,L Hip Sag,3.917198657989502,4.827629089355469,0.8928598165512085
0,NV039,pv_cnn,L Hip Fro,6.286470890045166,6.487673759460449,-2.2197227478027344
0,NV039,pv_cnn,L Hip Tra,6.54506254196167,7.7858147621154785,-0.998089075088501
