Model,MAE (deg),MAE SD,RMSE (deg),RMSE SD,R2,R2 SD,R2>0
Timestamp LSTM,5.157182614008586,1.3389370680469228,6.160357395807902,1.4638140839549765,-1.0389267429709435,1.0640315672030372,2/12
PV LSTM,5.109706024328868,1.401420406334606,6.098851223786672,1.5268532839922504,-1.0161353221628815,1.132216964980406,4/12
Timestamp CNN,4.867154876391093,1.6418134614561697,5.753248810768127,1.7663852772293456,-0.803110809220622,1.2275551992200462,4/12
PV CNN,4.836481432120006,1.5131940729188738,5.7364340623219805,1.6657018348349062,-0.9268100907405218,1.1744392088056175,4/12
Persistence (baseline),8.758136210383524,0.8267631940561918,10.890704092990008,0.9717076940595538,-1.0981320073206382,0.13811661822105192,0/12
Linear (baseline),14.563174702554646,2.2726642043615026,19.59738775899195,3.06546327125536,-10.846111125731106,2.1597809247977615,0/12
