repeat,subject,model,phase,MAE
1,NV041,timestamp_cnn,Terminal Stance,4.173237952921125
1,NV041,timestamp_cnn,Pre- Swing,4.849366029103597
1,NV041,timestamp_cnn,Initial Swing,4.5920926332473755
1,NV041,timestamp_cnn,Mid Swing,4.57617810037401
1,NV041,timestamp_cnn,Terminal Swing,3.7539952993392944
1,NV031,pv_cnn,Loading Response,7.359382192293803
1,NV031,pv_cnn,Mid Stance,6.1415420108371315
1,NV031,pv_cnn,Terminal Stance,6.167892740832435
1,NV031,pv_cnn,Pre- Swing,8.846146590179867
1,NV031,pv_cnn,Initial Swing,10.90595946709315
1,NV031,pv_cnn,Mid Swing,10.512040744225184
1,NV031,pv_cnn,Terminal Swing,7.218785968091753
1,NV041,pv_cnn,Loading Response,3.1207920809586844
1,NV041,pv_cnn,Mid Stance,3.471730967362722
1,NV041,pv_cnn,Terminal Stance,4.13588962952296
1,NV041,pv_cnn,Pre- Swing,5.557943675253126
1,NV041,pv_cnn,Initial Swing,4.763860646221373
1,NV041,pv_cnn,Mid Swing,4.59221276640892
1,NV041,pv_cnn,Terminal Swing,3.9603002270062766
2,NV044,timestamp_lstm,Loading Response,5.390504883395301
2,NV044,timestamp_lstm,Mid Stance,4.037603143188688
2,NV044,timestamp_lstm,Terminal Stance,4.228642106056213
2,NV044,timestamp_lstm,Pre- Swing,5.359260527624024
2,NV044,timestamp_lstm,Initial Swing,6.567994301517804
2,NV044,timestamp_lstm,Mid Swing,6.946438650290172
2,NV044,timestamp_lstm,Terminal Swing,6.131163587172826
2,NV046,timestamp_lstm,Loading Response,3.6080561578273773
2,NV046,timestamp_lstm,Mid Stance,2.7410572734144
2,NV046,timestamp_lstm,Terminal Stance,3.150140737493833
2,NV046,timestamp_lstm,Pre- Swing,3.6777451601293354
2,NV046,timestamp_lstm,Initial Swing,3.0751583841111927
2,NV046,timestamp_lstm,Mid Swing,4.144725167089039
2,NV046,timestamp_lstm,Terminal Swing,4.225010716252857
2,NV044,pv_lstm,Loading Response,5.447611328628328
2,NV044,pv_lstm,Mid Stance,4.174472404850854
2,NV044,pv_lstm,Terminal Stance,4.426905264457067
2,NV044,pv_lstm,Pre- Swing,6.182445383734173
2,NV044,pv_lstm,Initial Swing,7.61324116256502
2,NV044,pv_lstm,Mid Swing,7.52483445737097
2,NV044,pv_lstm,Terminal Swing,6.6418100065655175
2,NV046,pv_lstm,Loading Response,3.6855599267615213
2,NV046,pv_lstm,Mid Stance,3.3157429496447244
2,NV046,pv_lstm,Terminal Stance,3.1913405689928265
2,NV046,pv_lstm,Pre- Swing,3.5200406346056194
2,NV046,pv_lstm,Initial Swing,3.0042230354415045
2,NV046,pv_lstm,Mid Swing,3.3353167507383557
2,NV046,pv_lstm,Terminal Swing,3.1151745468378067
2,NV044,timestamp_cnn,Loading Response,4.848858065075344
