repeat,subject,model,strides,MAE,RMSE,R2,hip_phase_lag_samples
0,NV033,timestamp_lstm,4.0,5.074002764162832,6.204122422292942,-0.5142962016564719,-2.0
0,NV042,timestamp_lstm,4.0,5.830890718244197,7.232967097983034,-1.0190588569275334,3.0
0,NV033,pv_lstm,4.0,5.599481603944666,6.631975478326776,-0.8185473460352888,-2.0
0,NV042,pv_lstm,4.0,4.231243010331294,4.954301672440298,-0.18193747164055155,1.0
0,NV033,timestamp_cnn,4.0,5.407681389560644,6.886255925721106,-0.2184787436249048,-4.0
0,NV042,timestamp_cnn,4.0,5.18366453988774,6.472174384773943,-0.3375397164092856,3.0
0,NV033,pv_cnn,4.0,5.072245434734265,6.24581169645225,-0.5126020499580193,-2.0
0,NV042,pv_cnn,4.0,4.8215116236490045,5.940170077754446,-0.3704405901715575,2.0
1,NV031,timestamp_lstm,4.0,8.827433560374088,10.136570830017424,-3.5211639811499156,-2.0
1,NV041,timestamp_lstm,4.0,5.667817059068523,7.119938467273144,-0.34137830871091324,-1.0
1,NV031,pv_lstm,4.0,8.106794717170652,9.295150289704246,-3.339162031511125,0.0
1,NV041,pv_lstm,4.0,4.537923729424198,5.59580692419055,0.28585374306059486,1.0
1,NV031,timestamp_cnn,4.0,9.23034221371846,10.484519553948761,-4.2875863906712,2.0
1,NV041,timestamp_cnn,4.0,4.981921631071367,6.157758735930143,0.26430189489155986,1.0
1,NV031,pv_cnn,4.0,8.864888089796587,10.128201548272422,-3.9208145277034268,1.0
1,NV041,pv_cnn,4.0,4.66563439425578,5.84601224281006,0.24719069938830987,-1.0
2,NV044,timestamp_lstm,4.0,5.864064926976067,7.103986572937554,-2.1812738553275732,3.0
2,NV046,timestamp_lstm,3.0,4.663230347799083,5.786419844850717,-1.2166639358223308,2.0
2,NV044,pv_lstm,4.0,6.159125002250956,7.3160000443712185,-2.601314240640969,1.0
2,NV046,pv_lstm,3.0,3.4917788015681985,4.214767366769004,0.012375955184725748,0.0
2,NV044,timestamp_cnn,4.0,5.305373507843836,6.15510104203912,-1.3713833423246629,3.0
2,NV046,timestamp_cnn,3.0,3.3464583580063487,4.009672690996816,0.17281172669101108,-1.0
2,NV044,pv_cnn,4.0,5.102423806045454,5.921768910494314,-2.130422424727726,1.0
2,NV046,pv_cnn,3.0,3.4732229495167477,4.120682971013948,0.03129691970972955,1.0
3,NV036,timestamp_lstm,4.0,6.142883506992639,7.557985116731675,-2.9552804326101962,-5.0
3,NV045,timestamp_lstm,4.0,4.833196540665342,5.977810507330037,0.1171833213070096,4.0
3,NV036,pv_lstm,4.0,5.063993524355145,5.981636221741988,-2.517587767077987,1.0
3,NV045,pv_lstm,4.0,4.124647323376947,4.999261289451968,0.27187510976762197,1.0
3,NV036,timestamp_cnn,4.0,4.681247493016544,5.532065703914785,-1.9329081452319161,-1.0
3,NV045,timestamp_cnn,4.0,3.8945441160720358,4.725492535118586,0.31864916713287506,1.0
3,NV036,pv_cnn,4.0,4.856337048749888,5.702160583337232,-2.134223349739707,0.0
3,NV045,pv_cnn,4.0,3.851049423369295,4.706940153332882,0.3506993055244336,0.0
4,NV037,timestamp_lstm,4.0,8.399732938112255,9.962744038822482,-3.6573367546457143,2.0
4,NV038,timestamp_lstm,4.0,5.125257404267927,5.980458547449594,-1.6471970409622978,1.0
4,NV037,pv_lstm,4.0,8.146297375706771,9.22198645055549,-3.3683315552759865,1.0
4,NV038,pv_lstm,4.0,5.8332529339428225,6.974364635380098,-2.3507925116927177,2.0
4,NV037,timestamp_cnn,4.0,7.859742971669996,8.820778087871588,-2.5321087548550696,1.0
4,NV038,timestamp_cnn,4.0,5.513523517729634,6.583892078871308,-1.6031137211141997,-2.0
4,NV037,pv_cnn,4.0,7.8209571499980495,8.82118903114253,-2.9777852388212844,0.0
4,NV038,pv_cnn,4.0,4.945867418116247,5.781335639467055,-1.485287179552245,-1.0
5,NV039,timestamp_lstm,4.0,5.903806998304595,7.103548300370359,-2.832225042654036,-3.0
5,NV043,timestamp_lstm,4.0,7.814763978562551,9.324923565755658,-3.1583818523748066,3.0
5,NV039,pv_lstm,4.0,5.485976292369949,6.280401657572605,-2.53788400759826,-1.0
5,NV043,pv_lstm,4.0,5.493264918388494,6.840045752728884,-0.7080145180119822,2.0
5,NV039,timestamp_cnn,4.0,6.229420674926994,7.323950455869157,-2.528226497746395,-3.0
5,NV043,timestamp_cnn,4.0,5.358111083829743,6.656668020609194,-0.24941924762938758,3.0
5,NV039,pv_cnn,4.0,5.375191433963687,6.350184377777619,-2.3308355663759706,-1.0
5,NV043,pv_cnn,4.0,5.809408397691236,6.665130238035845,-1.2834222366284544,0.0
