Model,Rollout MAE (deg),Rollout MAE SD,Rollout R2,Hip phase lag (samples)
Timestamp LSTM,6.1789233952941744,1.4019604302822142,-1.9105894117945648,2.5833333333333335
PV LSTM,5.5228149360691745,1.4459236810996396,-1.4877888867893267,1.0833333333333333
Timestamp CNN,5.582669291444446,1.6026869664746664,-1.1920834809076313,2.0833333333333335
PV CNN,5.3882280974905195,1.5290071215145318,-1.376387186587993,0.8333333333333334
