phase,Timestamp LSTM,PV LSTM,Timestamp CNN,PV CNN
Loading Response,4.6486907081195605,4.897256555656592,4.510648067212767,4.57119121995789
Mid Stance,4.188797854714923,4.232083719085764,4.08484152207772,4.014410392415744
Terminal Stance,4.263534351631447,4.2292533905969725,4.300063767366939,4.202149917406064
Pre- Swing,6.203233250865231,5.793235608962951,5.504724837011761,5.464577939775254
Initial Swing,6.581407780034675,6.454149702908816,5.989357512444258,5.981805388850194
Mid Swing,6.175253367258443,6.083074533277088,5.72933864393444,5.6666435324759385
Terminal Swing,5.238977481369619,5.2208088935111405,4.737998522404167,4.8195533098446
