phase,Timestamp LSTM,PV LSTM,Timestamp CNN,PV CNN
Loading Response,4.796303900717585,4.544417656958103,4.285712985804787,4.454171867972171
Mid Stance,4.502603811867259,4.263777300439499,4.149219304806104,4.181718660104606
Terminal Stance,5.04013904667011,4.837763636062543,4.590782245897032,4.437250229219596
Pre- Swing,6.520754256458194,6.4435501948550895,5.859425776051702,5.49347988391916
Initial Swing,6.838500898814313,6.952980698258788,5.838088160863628,5.910495649057406
Mid Swing,6.205963503017469,6.085249433914821,5.428324852276731,5.345184074576807
Terminal Swing,5.412110545431022,5.105648191990675,4.5367619640159385,4.572502745384419
