repeat,subject,model,phase,MAE
0,NV036,timestamp_lstm,Loading Response,4.467679657869869
0,NV036,timestamp_lstm,Mid Stance,4.234494490755929
0,NV036,timestamp_lstm,Terminal Stance,3.664604581064648
0,NV036,timestamp_lstm,Pre- Swing,4.849285072750515
0,NV036,timestamp_lstm,Initial Swing,5.515307615200679
0,NV036,timestamp_lstm,Mid Swing,5.194986838433477
0,NV036,timestamp_lstm,Terminal Swing,4.465454967485534
0,NV041,timestamp_lstm,Loading Response,3.884001089466943
0,NV041,timestamp_lstm,Mid Stance,3.8362207545174494
0,NV041,timestamp_lstm,Terminal Stance,4.592681560251448
0,NV041,timestamp_lstm,Pre- Swing,5.887078907754686
0,NV041,timestamp_lstm,Initial Swing,6.091640780369441
0,NV041,timestamp_lstm,Mid Swing,5.286164118183984
0,NV041,timestamp_lstm,Terminal Swing,3.831668105390337
0,NV036,pv_lstm,Loading Response,3.102630224492815
0,NV036,pv_lstm,Mid Stance,3.9247812728087106
0,NV036,pv_lstm,Terminal Stance,3.764197882678774
0,NV036,pv_lstm,Pre- Swing,4.979944583442476
0,NV036,pv_lstm,Initial Swing,6.469499392641915
0,NV036,pv_lstm,Mid Swing,4.358451889620887
0,NV036,pv_lstm,Terminal Swing,2.9819259809123144
0,NV041,pv_lstm,Loading Response,3.9778151942623987
0,NV041,pv_lstm,Mid Stance,3.502581235435274
0,NV041,pv_lstm,Terminal Stance,4.463727050357395
0,NV041,pv_lstm,Pre- Swing,5.5516219404008655
0,NV041,pv_lstm,Initial Swing,5.991309490468767
0,NV041,pv_lstm,Mid Swing,4.744062377346887
0,NV041,pv_lstm,Terminal Swing,3.7079633507463665
0,NV036,timestamp_cnn,Loading Response,3.1517101526260376
0,NV036,timestamp_cnn,Mid Stance,3.3790270156330533
0,NV036,timestamp_cnn,Terminal Stance,3.199480030271742
0,NV036,timestamp_cnn,Pre- Swing,4.705951611200969
0,NV036,timestamp_cnn,Initial Swing,4.7761254542403755
0,NV036,timestamp_cnn,Mid Swing,4.699404670132531
0,NV036,timestamp_cnn,Terminal Swing,3.575176192654504
0,NV041,timestamp_cnn,Loading Response,3.4752178721957736
0,NV041,timestamp_cnn,Mid Stance,3.1436677277088165
0,NV041,timestamp_cnn,Terminal Stance,3.6496417654885187
0,NV041,timestamp_cnn,Pre- Swing,4.750082830588023
0,NV041,timestamp_cnn,Initial Swing,4.395069258080588
