Model,Rollout MAE (deg),Rollout MAE SD,Rollout R2,Hip phase lag (samples)
Timestamp LSTM,7.010257718615741,1.9545001797902273,-2.268950439069729,4.083333333333333
PV LSTM,5.848152361698081,1.5039074126777896,-1.8035805659105477,1.1666666666666667
Timestamp CNN,5.41961886811445,1.7519570901378574,-1.243747493315071,2.0833333333333335
PV CNN,5.430252103894038,1.512261757775188,-1.4354157874088844,1.0
