Model,MAE (deg),MAE SD,RMSE (deg),RMSE SD,R2,R2 SD,R2>0
Timestamp LSTM,5.485236306985219,1.6931915122760708,6.495182196299235,1.8474838531461977,-1.2198937373856704,1.322875342979323,3/12
PV LSTM,5.310539364814758,1.573768647557669,6.384079535802205,1.764724095771484,-1.0640765813489754,1.175258724748794,3/12
Timestamp CNN,4.860694388548533,1.5994453993706927,5.727392872174581,1.731851751407194,-0.8271130018401891,1.1113663252844133,5/12
PV CNN,4.827050745487213,1.4077564687837025,5.696148037910461,1.5493992824251308,-0.8084797527020177,1.1033289208007822,4/12
Persistence (baseline),8.758136210383524,0.8267631940561918,10.890704092990008,0.9717076940595538,-1.0981320073206382,0.13811661822105192,0/12
Linear (baseline),14.563174702554647,2.2726642043615026,19.597387758991953,3.0654632712553602,-10.846111125731108,2.159780924797762,0/12
