repeat,subject,model,MAE,RMSE,R2,sag_MAE,sag_RMSE,sag_R2
0,NV036,timestamp_lstm,4.569616317749023,5.269692420959473,-1.4112597703933716,4.510549068450928,5.451539993286133,0.7330430150032043
0,NV041,timestamp_lstm,4.6588568687438965,5.895023822784424,0.08991655707359314,4.840251922607422,6.522617816925049,0.6993229985237122
0,NV036,pv_lstm,4.176198482513428,5.00629997253418,-1.3502906560897827,4.253719806671143,5.5718255043029785,0.7144613265991211
0,NV041,pv_lstm,4.438088417053223,5.637131214141846,0.13197121024131775,4.6405839920043945,6.195756912231445,0.7477704882621765
0,NV036,timestamp_cnn,3.8477869033813477,4.493719100952148,-1.1142743825912476,3.5420522689819336,4.325107574462891,0.8138207793235779
0,NV041,timestamp_cnn,3.983494281768799,4.991254806518555,0.4596816599369049,4.066403865814209,5.420734405517578,0.8029586672782898
0,NV036,pv_cnn,3.904512643814087,4.561428070068359,-1.1845381259918213,3.415217161178589,4.272397041320801,0.8055194020271301
0,NV041,pv_cnn,4.000813961029053,4.931009292602539,0.47109922766685486,4.021753787994385,5.219370365142822,0.8077009320259094
1,NV042,timestamp_lstm,4.197370529174805,5.184804916381836,0.09451685845851898,4.724304676055908,6.109316349029541,0.7695478796958923
1,NV043,timestamp_lstm,5.004591941833496,6.098395347595215,-0.4596290588378906,6.154783725738525,7.73113489151001,0.6622788906097412
1,NV042,pv_lstm,4.3986005783081055,5.3769073486328125,-0.07914446294307709,4.629325866699219,5.902276515960693,0.7879486680030823
1,NV043,pv_lstm,4.98808479309082,6.314433574676514,-0.3295494616031647,6.725273132324219,8.86011028289795,0.5263567566871643
1,NV042,timestamp_cnn,3.494570732116699,4.28193473815918,0.24736452102661133,3.259068250656128,4.028567790985107,0.9118547439575195
1,NV043,timestamp_cnn,4.091561794281006,5.061371326446533,0.002938532270491123,5.346879959106445,6.702878952026367,0.7807572484016418
1,NV042,pv_cnn,3.6248300075531006,4.472245693206787,0.2736530303955078,3.4642488956451416,4.283076286315918,0.9046364426612854
1,NV043,pv_cnn,4.433520793914795,5.2812604904174805,-0.23966084420681,5.044467926025391,6.009542942047119,0.7720696330070496
