repeat,subject,model,strides,MAE,RMSE,R2,hip_phase_lag_samples
0,NV036,timestamp_lstm,4.0,7.155349799552472,8.711773515271014,-2.5723543936607927,-2.0
0,NV041,timestamp_lstm,4.0,7.12147977127111,9.286429630908566,-0.7592753509683998,-4.0
0,NV036,pv_lstm,4.0,4.853472442725506,5.804685036511283,-2.375458957267891,0.0
0,NV041,pv_lstm,4.0,5.853866126854434,7.212030005658889,-0.534983945993357,0.0
0,NV036,timestamp_cnn,4.0,4.446194764280076,5.183417551416103,-1.7972632123135834,-1.0
0,NV041,timestamp_cnn,4.0,4.382500863276199,5.500876224682683,0.378343297184863,-1.0
0,NV036,pv_cnn,4.0,4.62195686484304,5.391681377999831,-1.8972262895053664,0.0
0,NV041,pv_cnn,4.0,4.55262150374824,5.576949929529286,0.3922370574155268,1.0
1,NV042,timestamp_lstm,4.0,5.621701878517829,7.046914292427914,-0.44066728672708,5.0
1,NV043,timestamp_lstm,4.0,6.65954494183087,8.499856230643495,-1.2636488666595995,4.0
1,NV042,pv_lstm,4.0,4.768185698365947,5.781414379078198,-0.2674602521879157,2.0
1,NV043,pv_lstm,4.0,5.31062640645175,6.751800722239481,-0.9272770898130932,0.0
1,NV042,timestamp_cnn,4.0,4.120899581843632,5.089474012830039,0.06091853487549906,1.0
1,NV043,timestamp_cnn,4.0,4.499032184775846,5.472621947634387,-0.30108356143610243,0.0
1,NV042,pv_cnn,4.0,4.152693677335154,5.132088970112054,0.13594010718106375,1.0
1,NV043,pv_cnn,4.0,5.401070652804492,6.297886067095669,-0.8147984198044654,-2.0
2,NV033,timestamp_lstm,4.0,5.042622696678309,6.2289049725062355,-0.42238035365834015,-4.0
2,NV044,timestamp_lstm,4.0,5.218074028353614,6.073420984372336,-1.8853960770925806,2.0
2,NV033,pv_lstm,4.0,5.469873838041316,6.720868617285031,-0.8050720586018225,-3.0
2,NV044,pv_lstm,4.0,5.599186293817279,6.637391100989586,-3.0370941424590967,-1.0
2,NV033,timestamp_cnn,4.0,5.302512543072067,6.8122758203947225,-0.5042433357296621,-6.0
2,NV044,timestamp_cnn,4.0,4.930757392394697,5.6501133977996325,-1.659589378205703,1.0
2,NV033,pv_cnn,4.0,6.036011370105731,7.298933247422839,-1.7984499241757872,-3.0
2,NV044,pv_cnn,4.0,4.923752010675017,5.672081251842082,-2.463643770721582,0.0
3,NV038,timestamp_lstm,4.0,7.560725038846034,8.768613499333641,-4.049607976892634,-2.0
3,NV045,timestamp_lstm,4.0,5.082883722220125,6.346901017336147,0.016183974730701243,5.0
3,NV038,pv_lstm,4.0,6.995637238771061,7.975834626291808,-3.655796780185161,0.0
3,NV045,pv_lstm,4.0,3.9635486299028355,4.786935309302736,0.3675656473534708,1.0
3,NV038,timestamp_cnn,4.0,6.758194887139939,7.866333962932766,-3.101779646276579,-1.0
3,NV045,timestamp_cnn,4.0,4.11664409178542,5.089548537557341,0.33429383107007676,3.0
3,NV038,pv_cnn,4.0,6.745473870837755,7.814834642372471,-3.1841258486169015,-1.0
3,NV045,pv_cnn,4.0,3.8976990613446696,4.699994214558486,0.3852913330754104,0.0
4,NV031,timestamp_lstm,4.0,9.555484633277795,10.971703115516199,-4.806194780481633,-1.0
4,NV039,timestamp_lstm,4.0,9.370534967567302,11.503229993609246,-3.9382887771396518,-10.0
4,NV031,pv_lstm,4.0,9.008503328466162,10.58011041513301,-4.184534990518568,1.0
4,NV039,pv_lstm,4.0,5.656359812367613,6.632669573917486,-2.5976098223559783,-1.0
4,NV031,timestamp_cnn,4.0,9.249307366843949,10.901114435589806,-2.8845842296497257,6.0
4,NV039,timestamp_cnn,4.0,5.651310096449293,6.668657688775708,-2.2307154674106098,-3.0
4,NV031,pv_cnn,4.0,8.087568138864045,9.30261600291336,-2.635909804670843,1.0
4,NV039,pv_cnn,4.0,5.877256144007545,6.8139368390295925,-2.637513144631788,-2.0
5,NV037,timestamp_lstm,4.0,10.634716977156167,13.069329194684416,-5.246096778464934,7.0
5,NV046,timestamp_lstm,3.0,5.09997416811727,6.270305500139801,-1.8596786018218054,3.0
5,NV037,pv_lstm,4.0,8.197801118872666,9.394843256350802,-2.5394001896562317,3.0
5,NV046,pv_lstm,3.0,4.500767405740417,5.595691010142505,-1.0858442092409268,2.0
5,NV037,timestamp_cnn,4.0,8.077071335613892,9.082112242539916,-3.054773638613623,2.0
5,NV046,timestamp_cnn,3.0,3.5010013098983817,4.206900908767218,-0.16449311327570257,0.0
5,NV037,pv_cnn,4.0,7.684742015552926,8.646991667453717,-2.9684731424525017,0.0
5,NV046,pv_cnn,3.0,3.1821799366098285,3.7877921581540455,0.2616823980006233,1.0
