Model,MAE (deg),MAE SD,RMSE (deg),RMSE SD,R2,R2 SD,R2>0
Timestamp LSTM,5.661344329516093,1.8243166748935566,6.662312150001526,2.0233786669493803,-1.2620846132437389,1.391617840997016,3/12
PV LSTM,5.483997583389282,1.6012493709491464,6.4912495613098145,1.7787137282959502,-1.1710583874567722,1.2618729653605627,2/12
Timestamp CNN,5.222533742586772,1.5832579473218424,6.13991113503774,1.7677261515142224,-1.0564310842504103,1.2427023235105426,4/12
PV CNN,5.133994698524475,1.5357053454786773,6.016736924648285,1.7102679510293004,-1.1140211733678977,1.3745430006565647,4/12
Persistence (baseline),8.758136210383524,0.8267631940561918,10.890704092990008,0.9717076940595538,-1.098132007320638,0.13811661822105192,0/12
Linear (baseline),14.563174702554646,2.2726642043615026,19.597387758991953,3.0654632712553602,-10.846111125731106,2.1597809247977615,0/12
