repeat,subject,model,strides,MAE,RMSE,R2,hip_phase_lag_samples
0,NV044,timestamp_lstm,4.0,6.068506427943644,7.332302358579952,-2.180295835179721,0.0
0,NV045,timestamp_lstm,4.0,4.370490234165677,5.3562438930628264,0.27071473072700164,3.0
0,NV044,pv_lstm,4.0,5.324772583461699,6.3667923007890295,-2.6368496597539397,2.0
0,NV045,pv_lstm,4.0,4.137686034292661,5.041262239907721,0.2981802268503869,2.0
0,NV044,timestamp_cnn,4.0,5.786265504372622,6.6517365768086725,-3.4427567498258407,4.0
0,NV045,timestamp_cnn,4.0,4.533320790396851,5.546765061161195,0.2651092230457835,2.0
0,NV044,pv_cnn,4.0,5.440632445441788,6.08204931929475,-5.028645915991318,1.0
0,NV045,pv_cnn,4.0,4.175021740828136,4.9968016431282685,0.3390372829483844,0.0
1,NV031,timestamp_lstm,4.0,10.289672724410964,12.393551916928415,-4.99394986515679,5.0
1,NV043,timestamp_lstm,4.0,5.265203967628114,6.297719044649195,-0.9067926912255262,-3.0
1,NV031,pv_lstm,4.0,9.47456483658377,10.995638137894433,-4.956868935872018,2.0
1,NV043,pv_lstm,4.0,5.3511164009839085,6.4751653669314155,-0.9809547990415572,1.0
1,NV031,timestamp_cnn,4.0,9.641068615362721,11.417923182481157,-4.369929966352161,4.0
1,NV043,timestamp_cnn,4.0,5.821192980694476,7.298617424366316,-0.9756552617010844,3.0
1,NV031,pv_cnn,4.0,9.6665089244648,11.128322927130574,-4.960977779530063,3.0
1,NV043,pv_cnn,4.0,5.368088768912074,6.542458985177799,-0.9773039960062285,2.0
2,NV036,timestamp_lstm,4.0,7.317544347484656,8.618237680619059,-4.439534529365468,-4.0
2,NV039,timestamp_lstm,4.0,7.5255010644539375,9.268698326624785,-3.0988153341910056,-7.0
2,NV036,pv_lstm,4.0,6.226115667068501,7.06892524399038,-3.189758815060692,0.0
2,NV039,pv_lstm,4.0,5.14788314523269,5.954208050085417,-2.2164207594544445,-1.0
2,NV036,timestamp_cnn,4.0,5.463052422036716,6.095462081089162,-1.8613445413968348,1.0
2,NV039,timestamp_cnn,4.0,5.801334848750435,6.81884766433625,-2.5789900861377744,-3.0
2,NV036,pv_cnn,4.0,5.70694931224906,6.383473218694579,-2.5368925679633296,0.0
2,NV039,pv_cnn,4.0,5.599525143177124,6.450329180250679,-2.5205174152492518,-1.0
3,NV033,timestamp_lstm,4.0,5.56873578419757,6.880767515593366,-0.9910748748878861,-3.0
3,NV046,timestamp_lstm,3.0,4.192192784782239,5.067710552414753,-0.6327925394283186,1.0
3,NV033,pv_lstm,4.0,5.794401978079623,6.841032111597367,-1.2989201673153858,-2.0
3,NV046,pv_lstm,3.0,3.9968391903154608,4.958568682437155,-0.9207456011633097,0.0
3,NV033,timestamp_cnn,4.0,4.849965510222807,5.948226506750842,-0.326720415736459,-2.0
3,NV046,timestamp_cnn,3.0,3.212906582915287,3.873990800906128,0.06275926658345334,0.0
3,NV033,pv_cnn,4.0,4.622913539555747,5.7054171105702824,-0.13005635505171903,-3.0
3,NV046,pv_cnn,3.0,2.9436722259782586,3.50639883702221,0.37282078407762687,-1.0
4,NV038,timestamp_lstm,4.0,7.765186690486591,9.057182092705851,-3.241917134310814,4.0
4,NV042,timestamp_lstm,4.0,4.332860110149578,5.191546920410685,-0.1408846627398725,1.0
4,NV038,pv_lstm,4.0,7.607811741956141,8.90579440085579,-3.2145886334679377,2.0
4,NV042,pv_lstm,4.0,4.753820084010528,5.793172811873405,-0.2158338890649753,2.0
4,NV038,timestamp_cnn,4.0,7.285542318277801,8.588474370475296,-3.7785281873314194,-3.0
4,NV042,timestamp_cnn,4.0,4.8946065327933255,5.891747786374272,-0.23410526993241496,3.0
4,NV038,pv_cnn,4.0,6.192049595612533,7.119555185641925,-3.0094149300560833,0.0
4,NV042,pv_cnn,4.0,4.734396749807574,5.727232244763674,-0.0984142033436287,2.0
5,NV037,timestamp_lstm,4.0,7.85803221146464,8.901184807135866,-2.5094531024279942,3.0
5,NV041,timestamp_lstm,4.0,9.061652780600717,10.662297414845048,-2.899113734068541,1.0
5,NV037,pv_lstm,4.0,7.426943880628389,8.321509530974941,-2.3627056993329676,0.0
5,NV041,pv_lstm,4.0,9.310537868031759,11.05972588532573,-3.032495880054049,0.0
5,NV037,timestamp_cnn,4.0,8.083659229081611,9.21539241974185,-2.511988534505556,3.0
5,NV041,timestamp_cnn,4.0,4.8515898168546725,5.920944953194069,0.3178749364209582,2.0
5,NV037,pv_cnn,4.0,7.4997484203349245,8.327540289926002,-2.307778662385481,0.0
5,NV041,pv_cnn,4.0,4.5428766469970645,5.786330080129888,0.3585085478802837,-1.0
