Model,#Features,Window,Overall MAE,Overall RMSE,L Hip MAE,L Hip RMSE,R Hip MAE,R Hip RMSE,L Knee MAE,L Knee RMSE,R Knee MAE,R Knee RMSE,L Ankle MAE,L Ankle RMSE,R Ankle MAE,R Ankle RMSE
CNN + kinematics only,6,51,4.804327487945557,5.996393073249619,6.555027008056641,7.444696615069662,9.06661319732666,9.512917018977982,5.883502960205078,6.593256493491274,3.2294704914093018,3.8034401480151745,2.151313066482544,2.5281781053093404,1.9400379657745361,2.343588251254571
CNN + kinetics only,36,51,5.266489505767822,7.01640685892437,9.5132474899292,11.017099095185834,7.254741668701172,8.368328568756604,4.797458171844482,6.1443027810353765,6.040154933929443,7.299595850378116,2.297173500061035,2.84756817046996,1.6961594820022583,2.1975258092482126
CNN + both,42,51,4.366806507110596,7.3859267675145475,8.607087135314941,13.403234609527914,5.420159816741943,7.469545457689003,3.8657066822052,6.458486772580831,4.53620719909668,6.222137295430997,2.3713419437408447,2.9172870702765663,1.400337815284729,1.712647023816068
